#pv_name, el_idx_va, machine, cell, girder, handle, el_name_va, el_field_va, el_type_va
V:1-SR-MG:SUPER{S5:92}Fld:SP,92,V:1-SR,,,setpoint,S5,K,Sextupole
V:1-SR-MG:SUPER{S5:92}Fld:I,92,V:1-SR,,,readback,S5,K,Sextupole
V:1-SR-MG:SUPER{S5:95}Fld:SP,95,V:1-SR,,,setpoint,S5,K,Sextupole
V:1-SR-MG:SUPER{S5:95}Fld:I,95,V:1-SR,,,readback,S5,K,Sextupole
V:1-SR-MG:SUPER{QS2:97}Fld:SP,97,V:1-SR,,,setpoint,QS2,K,Quadrupole
V:1-SR-MG:SUPER{QS2:97}Fld:I,97,V:1-SR,,,readback,QS2,K,Quadrupole
V:1-SR-BI:SUPER{BPM:99}SA:X,99,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:99}SA:Y,99,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{S6:101}Fld:SP,101,V:1-SR,,,setpoint,S6,K,Sextupole
V:1-SR-MG:SUPER{S6:101}Fld:I,101,V:1-SR,,,readback,S6,K,Sextupole
V:1-SR-MG:SUPER{S6:104}Fld:SP,104,V:1-SR,,,setpoint,S6,K,Sextupole
V:1-SR-MG:SUPER{S6:104}Fld:I,104,V:1-SR,,,readback,S6,K,Sextupole
V:1-SR-MG:SUPER{QS3:106}Fld:SP,106,V:1-SR,,,setpoint,QS3,K,Quadrupole
V:1-SR-MG:SUPER{QS3:106}Fld:I,106,V:1-SR,,,readback,QS3,K,Quadrupole
V:1-SR-MG:SUPER{BEND:108}Fld:SP,108,V:1-SR,,,setpoint,BEND,T,Bending
V:1-SR-MG:SUPER{BEND:108}Fld:I,108,V:1-SR,,,readback,BEND,T,Bending
V:1-SR-MG:SUPER{QS4:112}Fld:SP,112,V:1-SR,,,setpoint,QS4,K,Quadrupole
V:1-SR-MG:SUPER{QS4:112}Fld:I,112,V:1-SR,,,readback,QS4,K,Quadrupole
V:1-SR-BI:SUPER{BPM:114}SA:X,114,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:114}SA:Y,114,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{SD:116}Fld:SP,116,V:1-SR,,,setpoint,SD,K,Sextupole
V:1-SR-MG:SUPER{SD:116}Fld:I,116,V:1-SR,,,readback,SD,K,Sextupole
V:1-SR-MG:SUPER{SD:119}Fld:SP,119,V:1-SR,,,setpoint,SD,K,Sextupole
V:1-SR-MG:SUPER{SD:119}Fld:I,119,V:1-SR,,,readback,SD,K,Sextupole
V:1-SR-MG:SUPER{QS5:121}Fld:SP,121,V:1-SR,,,setpoint,QS5,K,Quadrupole
V:1-SR-MG:SUPER{QS5:121}Fld:I,121,V:1-SR,,,readback,QS5,K,Quadrupole
V:1-SR-MG:SUPER{SF:123}Fld:SP,123,V:1-SR,,,setpoint,SF,K,Sextupole
V:1-SR-MG:SUPER{SF:123}Fld:I,123,V:1-SR,,,readback,SF,K,Sextupole
V:1-SR-MG:SUPER{SF:126}Fld:SP,126,V:1-SR,,,setpoint,SF,K,Sextupole
V:1-SR-MG:SUPER{SF:126}Fld:I,126,V:1-SR,,,readback,SF,K,Sextupole
V:1-SR-BI:SUPER{BPM:128}SA:X,128,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:128}SA:Y,128,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{QS5:130}Fld:SP,130,V:1-SR,,,setpoint,QS5,K,Quadrupole
V:1-SR-MG:SUPER{QS5:130}Fld:I,130,V:1-SR,,,readback,QS5,K,Quadrupole
V:1-SR-MG:SUPER{SD:132}Fld:SP,132,V:1-SR,,,setpoint,SD,K,Sextupole
V:1-SR-MG:SUPER{SD:132}Fld:I,132,V:1-SR,,,readback,SD,K,Sextupole
V:1-SR-MG:SUPER{SD:135}Fld:SP,135,V:1-SR,,,setpoint,SD,K,Sextupole
V:1-SR-MG:SUPER{SD:135}Fld:I,135,V:1-SR,,,readback,SD,K,Sextupole
V:1-SR-BI:SUPER{BPM:137}SA:X,137,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:137}SA:Y,137,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{QS4:139}Fld:SP,139,V:1-SR,,,setpoint,QS4,K,Quadrupole
V:1-SR-MG:SUPER{QS4:139}Fld:I,139,V:1-SR,,,readback,QS4,K,Quadrupole
V:1-SR-MG:SUPER{BEND:143}Fld:SP,143,V:1-SR,,,setpoint,BEND,T,Bending
V:1-SR-MG:SUPER{BEND:143}Fld:I,143,V:1-SR,,,readback,BEND,T,Bending
V:1-SR-MG:SUPER{QS3:145}Fld:SP,145,V:1-SR,,,setpoint,QS3,K,Quadrupole
V:1-SR-MG:SUPER{QS3:145}Fld:I,145,V:1-SR,,,readback,QS3,K,Quadrupole
V:1-SR-MG:SUPER{S6:147}Fld:SP,147,V:1-SR,,,setpoint,S6,K,Sextupole
V:1-SR-MG:SUPER{S6:147}Fld:I,147,V:1-SR,,,readback,S6,K,Sextupole
V:1-SR-MG:SUPER{S6:150}Fld:SP,150,V:1-SR,,,setpoint,S6,K,Sextupole
V:1-SR-MG:SUPER{S6:150}Fld:I,150,V:1-SR,,,readback,S6,K,Sextupole
V:1-SR-BI:SUPER{BPM:152}SA:X,152,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:152}SA:Y,152,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{QS2:154}Fld:SP,154,V:1-SR,,,setpoint,QS2,K,Quadrupole
V:1-SR-MG:SUPER{QS2:154}Fld:I,154,V:1-SR,,,readback,QS2,K,Quadrupole
V:1-SR-MG:SUPER{S5:156}Fld:SP,156,V:1-SR,,,setpoint,S5,K,Sextupole
V:1-SR-MG:SUPER{S5:156}Fld:I,156,V:1-SR,,,readback,S5,K,Sextupole
V:1-SR-MG:SUPER{S5:159}Fld:SP,159,V:1-SR,,,setpoint,S5,K,Sextupole
V:1-SR-MG:SUPER{S5:159}Fld:I,159,V:1-SR,,,readback,S5,K,Sextupole
V:1-SR-MG:SUPER{QS1:161}Fld:SP,161,V:1-SR,,,setpoint,QS1,K,Quadrupole
V:1-SR-MG:SUPER{QS1:161}Fld:I,161,V:1-SR,,,readback,QS1,K,Quadrupole
V:1-SR-BI:SUPER{BPM:165}SA:X,165,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:165}SA:Y,165,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:173}SA:X,173,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:173}SA:Y,173,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{QS1:177}Fld:SP,177,V:1-SR,,,setpoint,QS1,K,Quadrupole
V:1-SR-MG:SUPER{QS1:177}Fld:I,177,V:1-SR,,,readback,QS1,K,Quadrupole
V:1-SR-MG:SUPER{S5:179}Fld:SP,179,V:1-SR,,,setpoint,S5,K,Sextupole
V:1-SR-MG:SUPER{S5:179}Fld:I,179,V:1-SR,,,readback,S5,K,Sextupole
V:1-SR-MG:SUPER{S5:182}Fld:SP,182,V:1-SR,,,setpoint,S5,K,Sextupole
V:1-SR-MG:SUPER{S5:182}Fld:I,182,V:1-SR,,,readback,S5,K,Sextupole
V:1-SR-MG:SUPER{QS2:184}Fld:SP,184,V:1-SR,,,setpoint,QS2,K,Quadrupole
V:1-SR-MG:SUPER{QS2:184}Fld:I,184,V:1-SR,,,readback,QS2,K,Quadrupole
V:1-SR-BI:SUPER{BPM:186}SA:X,186,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:186}SA:Y,186,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{S6:188}Fld:SP,188,V:1-SR,,,setpoint,S6,K,Sextupole
V:1-SR-MG:SUPER{S6:188}Fld:I,188,V:1-SR,,,readback,S6,K,Sextupole
V:1-SR-MG:SUPER{S6:191}Fld:SP,191,V:1-SR,,,setpoint,S6,K,Sextupole
V:1-SR-MG:SUPER{S6:191}Fld:I,191,V:1-SR,,,readback,S6,K,Sextupole
V:1-SR-MG:SUPER{QS3:193}Fld:SP,193,V:1-SR,,,setpoint,QS3,K,Quadrupole
V:1-SR-MG:SUPER{QS3:193}Fld:I,193,V:1-SR,,,readback,QS3,K,Quadrupole
V:1-SR-MG:SUPER{BEND:195}Fld:SP,195,V:1-SR,,,setpoint,BEND,T,Bending
V:1-SR-MG:SUPER{BEND:195}Fld:I,195,V:1-SR,,,readback,BEND,T,Bending
V:1-SR-MG:SUPER{QS4:199}Fld:SP,199,V:1-SR,,,setpoint,QS4,K,Quadrupole
V:1-SR-MG:SUPER{QS4:199}Fld:I,199,V:1-SR,,,readback,QS4,K,Quadrupole
V:1-SR-BI:SUPER{BPM:201}SA:X,201,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:201}SA:Y,201,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{SD:203}Fld:SP,203,V:1-SR,,,setpoint,SD,K,Sextupole
V:1-SR-MG:SUPER{SD:203}Fld:I,203,V:1-SR,,,readback,SD,K,Sextupole
V:1-SR-MG:SUPER{SD:206}Fld:SP,206,V:1-SR,,,setpoint,SD,K,Sextupole
V:1-SR-MG:SUPER{SD:206}Fld:I,206,V:1-SR,,,readback,SD,K,Sextupole
V:1-SR-MG:SUPER{QS5:208}Fld:SP,208,V:1-SR,,,setpoint,QS5,K,Quadrupole
V:1-SR-MG:SUPER{QS5:208}Fld:I,208,V:1-SR,,,readback,QS5,K,Quadrupole
V:1-SR-MG:SUPER{SF:210}Fld:SP,210,V:1-SR,,,setpoint,SF,K,Sextupole
V:1-SR-MG:SUPER{SF:210}Fld:I,210,V:1-SR,,,readback,SF,K,Sextupole
V:1-SR-MG:SUPER{SF:213}Fld:SP,213,V:1-SR,,,setpoint,SF,K,Sextupole
V:1-SR-MG:SUPER{SF:213}Fld:I,213,V:1-SR,,,readback,SF,K,Sextupole
V:1-SR-BI:SUPER{BPM:215}SA:X,215,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:215}SA:Y,215,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{QS5:217}Fld:SP,217,V:1-SR,,,setpoint,QS5,K,Quadrupole
V:1-SR-MG:SUPER{QS5:217}Fld:I,217,V:1-SR,,,readback,QS5,K,Quadrupole
V:1-SR-MG:SUPER{SD:219}Fld:SP,219,V:1-SR,,,setpoint,SD,K,Sextupole
V:1-SR-MG:SUPER{SD:219}Fld:I,219,V:1-SR,,,readback,SD,K,Sextupole
V:1-SR-MG:SUPER{SD:222}Fld:SP,222,V:1-SR,,,setpoint,SD,K,Sextupole
V:1-SR-MG:SUPER{SD:222}Fld:I,222,V:1-SR,,,readback,SD,K,Sextupole
V:1-SR-BI:SUPER{BPM:224}SA:X,224,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:224}SA:Y,224,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{QS4:226}Fld:SP,226,V:1-SR,,,setpoint,QS4,K,Quadrupole
V:1-SR-MG:SUPER{QS4:226}Fld:I,226,V:1-SR,,,readback,QS4,K,Quadrupole
V:1-SR-MG:SUPER{BEND:230}Fld:SP,230,V:1-SR,,,setpoint,BEND,T,Bending
V:1-SR-MG:SUPER{BEND:230}Fld:I,230,V:1-SR,,,readback,BEND,T,Bending
V:1-SR-MG:SUPER{QS3:232}Fld:SP,232,V:1-SR,,,setpoint,QS3,K,Quadrupole
V:1-SR-MG:SUPER{QS3:232}Fld:I,232,V:1-SR,,,readback,QS3,K,Quadrupole
V:1-SR-MG:SUPER{S6:234}Fld:SP,234,V:1-SR,,,setpoint,S6,K,Sextupole
V:1-SR-MG:SUPER{S6:234}Fld:I,234,V:1-SR,,,readback,S6,K,Sextupole
V:1-SR-MG:SUPER{S6:237}Fld:SP,237,V:1-SR,,,setpoint,S6,K,Sextupole
V:1-SR-MG:SUPER{S6:237}Fld:I,237,V:1-SR,,,readback,S6,K,Sextupole
V:1-SR-BI:SUPER{BPM:239}SA:X,239,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:239}SA:Y,239,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{QS2:241}Fld:SP,241,V:1-SR,,,setpoint,QS2,K,Quadrupole
V:1-SR-MG:SUPER{QS2:241}Fld:I,241,V:1-SR,,,readback,QS2,K,Quadrupole
V:1-SR-MG:SUPER{S5:243}Fld:SP,243,V:1-SR,,,setpoint,S5,K,Sextupole
V:1-SR-MG:SUPER{S5:243}Fld:I,243,V:1-SR,,,readback,S5,K,Sextupole
V:1-SR-MG:SUPER{S5:246}Fld:SP,246,V:1-SR,,,setpoint,S5,K,Sextupole
V:1-SR-MG:SUPER{S5:246}Fld:I,246,V:1-SR,,,readback,S5,K,Sextupole
V:1-SR-MG:SUPER{QS1:248}Fld:SP,248,V:1-SR,,,setpoint,QS1,K,Quadrupole
V:1-SR-MG:SUPER{QS1:248}Fld:I,248,V:1-SR,,,readback,QS1,K,Quadrupole
V:1-SR-BI:SUPER{BPM:252}SA:X,252,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:252}SA:Y,252,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:255}SA:X,255,V:1-SR,,,readback,BPM,X,Beam Position Monitor
