
#   Readback of set point           ,     Properties          ,       Tag   
# BR MG 
BR:A2-PS{6A:CY3}I-SP-1k        , elemHandle=get,   elemIndex= 147, elemName= A2CY3     ,  devName= A2CY3      ,  elemLength= 0.15, elemPosition= 63.9464, elemType=VCOR ,  system=BR, elemField=y_1k,  aphla.sys.BR 
BR:A2-PS{6A:CY4}I-SP-1k        , elemHandle=get,   elemIndex= 171, elemName= A2CY4     ,  devName= A2CY4      ,  elemLength= 0.15, elemPosition= 72.4539, elemType=VCOR ,  system=BR, elemField=y_1k,  aphla.sys.BR 
BR:A3-PS{6A:CY1}I-SP-1k        , elemHandle=get,   elemIndex= 211, elemName= A3CY1     ,  devName= A3CY1      ,  elemLength= 0.15, elemPosition= 86.0877, elemType=VCOR ,  system=BR, elemField=y_1k,  aphla.sys.BR 
BR:A3-PS{6A:CY2}I-SP-1k        , elemHandle=get,   elemIndex= 235, elemName= A3CY2     ,  devName= A3CY2      ,  elemLength= 0.15, elemPosition= 94.5952, elemType=VCOR ,  system=BR, elemField=y_1k,  aphla.sys.BR 
BR:A3-PS{6A:CY3}I-SP-1k        , elemHandle=get,   elemIndex= 255, elemName= A3CY3     ,  devName= A3CY3      ,  elemLength= 0.15, elemPosition= 103.542, elemType=VCOR ,  system=BR, elemField=y_1k,  aphla.sys.BR 
BR:A3-PS{6A:CY4}I-SP-1k        , elemHandle=get,   elemIndex= 277, elemName= A3CY4     ,  devName= A3CY4      ,  elemLength= 0.15, elemPosition= 112.05 , elemType=VCOR ,  system=BR, elemField=y_1k,  aphla.sys.BR 
BR:A4-PS{6A:CY1}I-SP-1k        , elemHandle=get,   elemIndex= 299, elemName= A4CY1     ,  devName= A4CY1      ,  elemLength= 0.15, elemPosition= 125.688, elemType=VCOR ,  system=BR, elemField=y_1k,  aphla.sys.BR 
BR:A4-PS{6A:CY2}I-SP-1k        , elemHandle=get,   elemIndex= 321, elemName= A4CY2     ,  devName= A4CY2      ,  elemLength= 0.15, elemPosition= 134.195, elemType=VCOR ,  system=BR, elemField=y_1k,  aphla.sys.BR 
BR:A4-PS{6A:CY3}I-SP-1k        , elemHandle=get,   elemIndex= 341, elemName= A4CY3     ,  devName= A4CY3      ,  elemLength= 0.15, elemPosition= 143.142, elemType=VCOR ,  system=BR, elemField=y_1k,  aphla.sys.BR 
BR:A4-PS{6A:CY4}I-SP-1k        , elemHandle=get,   elemIndex= 365, elemName= A4CY4     ,  devName= A4CY4      ,  elemLength= 0.15, elemPosition= 151.65 , elemType=VCOR ,  system=BR, elemField=y_1k,  aphla.sys.BR 
