#   set point           ,     Properties          ,       Tag   
# BR MG 
BR:CS-PS{6A:CXW2}I-SP      , elemHandle=put,   elemIndex= 293, elemName= CSCXW2      ,  devName= CSCXW2     ,  elemLength= 0.15, elemPosition= 122.904, elemType=HCOR ,  system=BR, elemField=x,  aphla.sys.BR 
BR:A4-PS{6A:CX1}I-SP       , elemHandle=put,   elemIndex= 313, elemName= A4CX1       ,  devName= A4CX1      ,  elemLength= 0.15, elemPosition= 130.661, elemType=HCOR ,  system=BR, elemField=x,  aphla.sys.BR 
BR:A4-PS{6A:CX2}I-SP       , elemHandle=put,   elemIndex= 349, elemName= A4CX2       ,  devName= A4CX2      ,  elemLength= 0.15, elemPosition= 146.676, elemType=HCOR ,  system=BR, elemField=x,  aphla.sys.BR 
BR:A4-PS{6A:CX3}I-SP       , elemHandle=put,   elemIndex= 361, elemName= A4CX3       ,  devName= A4CX3      ,  elemLength= 0.15, elemPosition= 150.82 , elemType=HCOR ,  system=BR, elemField=x,  aphla.sys.BR 
BR:IS-PS{6A:CXW1}I-SP      , elemHandle=put,   elemIndex= 373, elemName= ISCXW1      ,  devName= ISCXW1     ,  elemLength= 0.15, elemPosition= 154.682, elemType=HCOR ,  system=BR, elemField=x,  aphla.sys.BR 


BR:A1-PS{6A:CY1}I-SP        , elemHandle=put,   elemIndex= 18 , elemName= A1CY1     ,  devName= A1CY1      ,  elemLength= 0.15, elemPosition= 6.8919 , elemType=VCOR ,  system=BR, elemField=y,  aphla.sys.BR 
BR:A1-PS{6A:CY2}I-SP        , elemHandle=put,   elemIndex= 42 , elemName= A1CY2     ,  devName= A1CY2      ,  elemLength= 0.15, elemPosition= 15.3994, elemType=VCOR ,  system=BR, elemField=y,  aphla.sys.BR 
BR:A1-PS{6A:CY3}I-SP        , elemHandle=put,   elemIndex= 62 , elemName= A1CY3     ,  devName= A1CY3      ,  elemLength= 0.15, elemPosition= 24.3464, elemType=VCOR ,  system=BR, elemField=y,  aphla.sys.BR 
BR:A1-PS{6A:CY4}I-SP        , elemHandle=put,   elemIndex= 84 , elemName= A1CY4     ,  devName= A1CY4      ,  elemLength= 0.15, elemPosition= 32.8539, elemType=VCOR ,  system=BR, elemField=y,  aphla.sys.BR 
BR:A2-PS{6A:CY1}I-SP        , elemHandle=put,   elemIndex= 105, elemName= A2CY1     ,  devName= A2CY1      ,  elemLength= 0.15, elemPosition= 46.4919, elemType=VCOR ,  system=BR, elemField=y,  aphla.sys.BR 
BR:A2-PS{6A:CY2}I-SP        , elemHandle=put,   elemIndex= 127, elemName= A2CY2     ,  devName= A2CY2      ,  elemLength= 0.15, elemPosition= 54.9994, elemType=VCOR ,  system=BR, elemField=y,  aphla.sys.BR 
BR:A2-PS{6A:CY3}I-SP        , elemHandle=put,   elemIndex= 147, elemName= A2CY3     ,  devName= A2CY3      ,  elemLength= 0.15, elemPosition= 63.9464, elemType=VCOR ,  system=BR, elemField=y,  aphla.sys.BR 
BR:A2-PS{6A:CY4}I-SP        , elemHandle=put,   elemIndex= 171, elemName= A2CY4     ,  devName= A2CY4      ,  elemLength= 0.15, elemPosition= 72.4539, elemType=VCOR ,  system=BR, elemField=y,  aphla.sys.BR 
BR:A3-PS{6A:CY1}I-SP        , elemHandle=put,   elemIndex= 211, elemName= A3CY1     ,  devName= A3CY1      ,  elemLength= 0.15, elemPosition= 86.0877, elemType=VCOR ,  system=BR, elemField=y,  aphla.sys.BR 
BR:A3-PS{6A:CY2}I-SP        , elemHandle=put,   elemIndex= 235, elemName= A3CY2     ,  devName= A3CY2      ,  elemLength= 0.15, elemPosition= 94.5952, elemType=VCOR ,  system=BR, elemField=y,  aphla.sys.BR 
BR:A3-PS{6A:CY3}I-SP        , elemHandle=put,   elemIndex= 255, elemName= A3CY3     ,  devName= A3CY3      ,  elemLength= 0.15, elemPosition= 103.542, elemType=VCOR ,  system=BR, elemField=y,  aphla.sys.BR 
BR:A3-PS{6A:CY4}I-SP        , elemHandle=put,   elemIndex= 277, elemName= A3CY4     ,  devName= A3CY4      ,  elemLength= 0.15, elemPosition= 112.05 , elemType=VCOR ,  system=BR, elemField=y,  aphla.sys.BR 
BR:A4-PS{6A:CY1}I-SP        , elemHandle=put,   elemIndex= 299, elemName= A4CY1     ,  devName= A4CY1      ,  elemLength= 0.15, elemPosition= 125.688, elemType=VCOR ,  system=BR, elemField=y,  aphla.sys.BR 
BR:A4-PS{6A:CY2}I-SP        , elemHandle=put,   elemIndex= 321, elemName= A4CY2     ,  devName= A4CY2      ,  elemLength= 0.15, elemPosition= 134.195, elemType=VCOR ,  system=BR, elemField=y,  aphla.sys.BR 
