tune 2.6172709137E+01 1.4280961435E+01
chrom 0.0000000000E+00 0.0000000000E+00
alphac 2.3870971049E-04
energy 3.0000000000E+00
# i      name           s         alphax    betax     nux          etax      etapx     alphay    betay     nuy       etay      etapy     xcod      ycod      dSx       dSy       dipx      dipy      tmatrix
#                      [m]                   [m]                   [m]                            [m]                [m]                 [m]        [m]      [m]       [m]       [rad]     [rad]            
#
   0           begin 0.000000 0.0001050132 9.8791326704 0.0000000000 0.1200759635 0.0001306291 0.0072642341 6.0422780290 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000E+00 0.0000000000E+00 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000
  21 s2              8.880000 2.7736223158 3.7032338032 0.1252784460 0.0525203728 -0.0531725893 0.1603879879 17.8249674049 0.1675733316 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000E+00 0.0000000000E+00 0.4321815526 4.2862502490 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.4407674985 -2.0575607519 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.8604154585 9.0176662445 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0912441319 0.2059364112 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000
  22 hc              8.880000 2.7736223158 3.7032338032 0.1252784460 0.0525203728 -0.0531725893 0.1603879879 17.8249674049 0.1675733316 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000E+00 0.0000000000E+00 0.4321815526 4.2862502490 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.4407674985 -2.0575607519 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.8604154585 9.0176662445 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0912441319 0.2059364112 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000
  23 vc              8.880000 2.7736223158 3.7032338032 0.1252784460 0.0525203728 -0.0531725893 0.1603879879 17.8249674049 0.1675733316 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000E+00 0.0000000000E+00 0.4321815526 4.2862502490 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.4407674985 -2.0575607519 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.8604154585 9.0176662445 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0912441319 0.2059364112 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000
  24 s2              9.005000 2.4801453804 3.0468723668 0.1311991013 0.0458812268 -0.0531691426 0.1544429073 17.7856313142 0.1686900610 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000E+00 0.0000000000E+00 0.3770856153 4.0290551550 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.4407674985 -2.0575607519 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.8490099420 9.0434082959 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0912441319 0.2059364112 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000
  25 dl4b            9.380000 1.6004891905 1.5174661377 0.1590824709 0.0259644054 -0.0531691426 0.1328672863 17.6779485534 0.1720543791 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000E+00 0.0000000000E+00 0.2117978034 3.2574698731 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.4407674985 -2.0575607519 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.8147933925 9.1206344501 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0912441319 0.2059364112 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000
  26 bend            10.480000 -0.9725711542 0.8290461989 0.4429857223 0.0395220526 0.0779188742 0.3378106130 17.1560086686 0.1821084403 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000E+00 0.0000000000E+00 -0.2716630027 1.0006111394 0.0000000000 0.0000000000 0.0718920784 0.0000000000 -0.4407674986 -2.0575607480 0.0000000000 0.0000000000 0.1310869100 0.0000000000 0.0000000000 0.0000000000 0.7074342304 9.2689129318 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.1031169804 0.0625043074 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 -0.0039237720 0.2790893411 0.0000000000 0.0000000000 0.0031388075 1.0000000000
  27 ge              10.480000 -0.9725711542 0.8290461989 0.4429857223 0.0395220526 0.0779188742 0.3378106130 17.1560086686 0.1821084403 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000E+00 0.0000000000E+00 -0.2716630027 1.0006111394 0.0000000000 0.0000000000 0.0718920784 0.0000000000 -0.4407674986 -2.0575607480 0.0000000000 0.0000000000 0.1310869100 0.0000000000 0.0000000000 0.0000000000 0.7074342304 9.2689129318 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.1031169804 0.0625043074 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 -0.0039237720 0.2790893411 0.0000000000 0.0000000000 0.0031388075 1.0000000000
  28 dc5             11.030000 -2.2628327827 2.6075511238 0.5039719660 0.0823307680 0.0779188742 0.3021128726 16.8042420550 0.1872619726 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000E+00 0.0000000000E+00 -0.5140851269 -0.1310472720 0.0000000000 0.0000000000 0.1439898789 0.0000000000 -0.4407674986 -2.0575607480 0.0000000000 0.0000000000 0.1310869100 0.0000000000 0.0000000000 0.0000000000 0.6507198911 9.3032903009 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.1031169804 0.0625043074 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 -0.0039237720 0.2790893411 0.0000000000 0.0000000000 0.0031388075 1.0000000000
  29 gs              11.030000 -2.2628327827 2.6075511238 0.5039719660 0.0823307680 0.0779188742 0.3021128726 16.8042420550 0.1872619726 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000E+00 0.0000000000E+00 -0.5140851269 -0.1310472720 0.0000000000 0.0000000000 0.1439898789 0.0000000000 -0.4407674986 -2.0575607480 0.0000000000 0.0000000000 0.1310869100 0.0000000000 0.0000000000 0.0000000000 0.6507198911 9.3032903009 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.1031169804 0.0625043074 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 -0.0039237720 0.2790893411 0.0000000000 0.0000000000 0.0031388075 1.0000000000
  30 qs4             11.330000 -4.2908433911 4.5144236608 0.5181140202 0.1098574455 0.1071989801 5.0784911326 15.1395390210 0.1902082915 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000E+00 0.0000000000E+00 -0.6722131884 -0.7639166734 0.0000000000 0.0000000000 0.1906049707 0.0000000000 -0.6214999803 -2.1939084548 0.0000000000 0.0000000000 0.1820624166 0.0000000000 0.0000000000 0.0000000000 0.5905178311 8.8965686410 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.2951450282 -2.7531395616 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 -0.0039237720 0.2790893411 0.0000000000 0.0000000000 0.0031388075 1.0000000000
