V:1-SR-MG:SUPER{SD:50}Fld:I,elemHandle=get,elemName=sd:50,elemIndex=5000,elemPosition=14.19,elemLength=0.0,id=28,elemField=b2,aphla.sys.SR
V:1-SR-MG:SUPER{HC:51}Fld:SP,elemHandle=put,elemName=hc:51,elemIndex=5100,elemPosition=14.19,elemLength=0.0,id=29,elemField=x,aphla.sys.SR
V:1-SR-MG:SUPER{HC:51}Fld:I,elemHandle=get,elemName=hc:51,elemIndex=5100,elemPosition=14.19,elemLength=0.0,id=29,elemField=x,aphla.sys.SR
V:1-SR-MG:SUPER{VC:52}Fld:SP,elemHandle=put,elemName=vc:52,elemIndex=5200,elemPosition=14.19,elemLength=0.0,id=30,elemField=y,aphla.sys.SR
V:1-SR-MG:SUPER{VC:52}Fld:I,elemHandle=get,elemName=vc:52,elemIndex=5200,elemPosition=14.19,elemLength=0.0,id=30,elemField=y,aphla.sys.SR
V:1-SR-MG:SUPER{SD:53}Fld:SP,elemHandle=put,elemName=sd:53,elemIndex=5300,elemPosition=14.315,elemLength=0.0,id=31,elemField=b2,aphla.sys.SR
V:1-SR-MG:SUPER{SD:53}Fld:I,elemHandle=get,elemName=sd:53,elemIndex=5300,elemPosition=14.315,elemLength=0.0,id=31,elemField=b2,aphla.sys.SR
V:1-SR-BI:SUPER{BPM:55}SA:X,elemHandle=get,elemName=bpm:55,elemIndex=5500,elemPosition=14.495,elemLength=0.0,id=32,elemField=x,aphla.sys.SR
V:1-SR-BI:SUPER{BPM:55}SA:Y,elemHandle=get,elemName=bpm:55,elemIndex=5500,elemPosition=14.495,elemLength=0.0,id=32,elemField=y,aphla.sys.SR
V:1-SR-MG:SUPER{QS4:57}Fld:SP,elemHandle=put,elemName=qs4:57,elemIndex=5700,elemPosition=14.89,elemLength=0.0,id=33,elemField=b1,aphla.sys.SR
V:1-SR-MG:SUPER{QS4:57}Fld:I,elemHandle=get,elemName=qs4:57,elemIndex=5700,elemPosition=14.89,elemLength=0.0,id=33,elemField=b1,aphla.sys.SR
