#pv_name, el_idx_va, machine, cell, girder, handle, el_name_va, el_field_va, el_type_va
V:1-SR-MG:SUPER{QS5:650}Fld:SP,650,V:1-SR,,,setpoint,QS5,K,Quadrupole
V:1-SR-MG:SUPER{QS5:650}Fld:I,650,V:1-SR,,,readback,QS5,K,Quadrupole
V:1-SR-MG:SUPER{SD:652}Fld:SP,652,V:1-SR,,,setpoint,SD,K,Sextupole
V:1-SR-MG:SUPER{SD:652}Fld:I,652,V:1-SR,,,readback,SD,K,Sextupole
V:1-SR-MG:SUPER{HC:653}Fld:SP,653,V:1-SR,,,setpoint,HC,,Horizontal Corrector
V:1-SR-MG:SUPER{HC:653}Fld:I,653,V:1-SR,,,readback,HC,,Horizontal Corrector
V:1-SR-MG:SUPER{VC:654}Fld:SP,654,V:1-SR,,,setpoint,VC,,Vertical Corrector
V:1-SR-MG:SUPER{VC:654}Fld:I,654,V:1-SR,,,readback,VC,,Vertical Corrector
V:1-SR-MG:SUPER{SD:655}Fld:SP,655,V:1-SR,,,setpoint,SD,K,Sextupole
V:1-SR-MG:SUPER{SD:655}Fld:I,655,V:1-SR,,,readback,SD,K,Sextupole
V:1-SR-BI:SUPER{BPM:657}SA:X,657,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:657}SA:Y,657,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{QS4:659}Fld:SP,659,V:1-SR,,,setpoint,QS4,K,Quadrupole
V:1-SR-MG:SUPER{QS4:659}Fld:I,659,V:1-SR,,,readback,QS4,K,Quadrupole
V:1-SR-MG:SUPER{BEND:663}Fld:SP,663,V:1-SR,,,setpoint,BEND,T,Bending
V:1-SR-MG:SUPER{BEND:663}Fld:I,663,V:1-SR,,,readback,BEND,T,Bending
V:1-SR-MG:SUPER{S2:665}Fld:SP,665,V:1-SR,,,setpoint,S2,K,Sextupole
V:1-SR-MG:SUPER{S2:665}Fld:I,665,V:1-SR,,,readback,S2,K,Sextupole
V:1-SR-MG:SUPER{HC:666}Fld:SP,666,V:1-SR,,,setpoint,HC,,Horizontal Corrector
V:1-SR-MG:SUPER{HC:666}Fld:I,666,V:1-SR,,,readback,HC,,Horizontal Corrector
V:1-SR-MG:SUPER{VC:667}Fld:SP,667,V:1-SR,,,setpoint,VC,,Vertical Corrector
V:1-SR-MG:SUPER{VC:667}Fld:I,667,V:1-SR,,,readback,VC,,Vertical Corrector
V:1-SR-MG:SUPER{S2:668}Fld:SP,668,V:1-SR,,,setpoint,S2,K,Sextupole
V:1-SR-MG:SUPER{S2:668}Fld:I,668,V:1-SR,,,readback,S2,K,Sextupole
V:1-SR-MG:SUPER{QL3:670}Fld:SP,670,V:1-SR,,,setpoint,QL3,K,Quadrupole
V:1-SR-MG:SUPER{QL3:670}Fld:I,670,V:1-SR,,,readback,QL3,K,Quadrupole
V:1-SR-BI:SUPER{BPM:672}SA:X,672,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:672}SA:Y,672,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{QL2:674}Fld:SP,674,V:1-SR,,,setpoint,QL2,K,Quadrupole
V:1-SR-MG:SUPER{QL2:674}Fld:I,674,V:1-SR,,,readback,QL2,K,Quadrupole
V:1-SR-MG:SUPER{S1:676}Fld:SP,676,V:1-SR,,,setpoint,S1,K,Sextupole
V:1-SR-MG:SUPER{S1:676}Fld:I,676,V:1-SR,,,readback,S1,K,Sextupole
V:1-SR-MG:SUPER{HC:677}Fld:SP,677,V:1-SR,,,setpoint,HC,,Horizontal Corrector
V:1-SR-MG:SUPER{HC:677}Fld:I,677,V:1-SR,,,readback,HC,,Horizontal Corrector
V:1-SR-MG:SUPER{VC:678}Fld:SP,678,V:1-SR,,,setpoint,VC,,Vertical Corrector
V:1-SR-MG:SUPER{VC:678}Fld:I,678,V:1-SR,,,readback,VC,,Vertical Corrector
V:1-SR-MG:SUPER{S1:679}Fld:SP,679,V:1-SR,,,setpoint,S1,K,Sextupole
V:1-SR-MG:SUPER{S1:679}Fld:I,679,V:1-SR,,,readback,S1,K,Sextupole
V:1-SR-MG:SUPER{QL1:681}Fld:SP,681,V:1-SR,,,setpoint,QL1,K,Quadrupole
V:1-SR-MG:SUPER{QL1:681}Fld:I,681,V:1-SR,,,readback,QL1,K,Quadrupole
V:1-SR-BI:SUPER{BPM:685}SA:X,685,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:685}SA:Y,685,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
