Tune: 3.322128e+01 1.625978e+01
Chrom: 2.000000e+00 1.789887e+00 
Alpha_c: 3.627490e-04
 element        s            alphax         alphay         betax          betay            etax          etaxp           etay          etayp           phix           phiy     
  SM2HG4C30B   1.382000e+01  -7.330506e-07  -2.441191e-07   2.708605e+01   7.828527e+00    4.584057e-01   5.619405e-06   0.000000e+00   0.000000e+00   3.034227e+00   1.545171e+00 
   MK3G4C30B   1.382000e+01  -7.330506e-07  -2.441191e-07   2.708605e+01   7.828527e+00    4.584057e-01   5.619405e-06   0.000000e+00   0.000000e+00   3.034227e+00   1.545171e+00 
  SM2HG4C30B   1.394500e+01  -4.615655e-03  -1.596749e-02   2.708663e+01   7.830523e+00    4.584064e-01   5.619405e-06   0.000000e+00   0.000000e+00   3.038842e+00   1.561137e+00 
     DM2CG4B   1.412900e+01  -1.140882e-02  -3.947127e-02   2.708958e+01   7.840723e+00    4.584074e-01   5.619405e-06   0.000000e+00   0.000000e+00   3.045634e+00   1.584622e+00 
   QM2G4C30B   1.441100e+01   8.750773e+00  -2.976671e+00   2.454172e+01   8.664667e+00    4.362406e-01  -1.559373e-01   0.000000e+00   0.000000e+00   3.056395e+00   1.619401e+00 
     DM2BG4B   1.491500e+01   7.157636e+00  -3.550234e+00   1.652388e+01   1.195423e+01    3.576482e-01  -1.559373e-01   0.000000e+00   0.000000e+00   3.081425e+00   1.668943e+00 
   SM1G4C30B   1.511500e+01   6.525439e+00  -3.777838e+00   1.378727e+01   1.341984e+01    3.264608e-01  -1.559373e-01   0.000000e+00   0.000000e+00   3.094676e+00   1.684734e+00 
     DM2AG4B   1.537726e+01   5.696439e+00  -4.076296e+00   1.058196e+01   1.547967e+01    2.855646e-01  -1.559373e-01   0.000000e+00   0.000000e+00   3.116390e+00   1.702931e+00 
   PM1G4C30B   1.537726e+01   5.696439e+00  -4.076296e+00   1.058196e+01   1.547967e+01    2.855646e-01  -1.559373e-01   0.000000e+00   0.000000e+00   3.116390e+00   1.702931e+00 
      DBPM04   1.546650e+01   5.414352e+00  -4.177852e+00   9.590429e+00   1.621627e+01    2.716488e-01  -1.559373e-01   0.000000e+00   0.000000e+00   3.125249e+00   1.708563e+00 
   QM1G4C30B   1.571350e+01   3.164816e+00  -8.955643e-01   7.505697e+00   1.749052e+01    2.395718e-01  -1.048670e-01   0.000000e+00   0.000000e+00   3.154607e+00   1.723109e+00 
     DM1EG4B   1.582400e+01   3.002636e+00  -9.069490e-01   6.824193e+00   1.768970e+01    2.279840e-01  -1.048670e-01   0.000000e+00   0.000000e+00   3.170047e+00   1.729392e+00 
        DFCH   1.597400e+01   2.782482e+00  -9.224034e-01   5.956425e+00   1.796410e+01    2.122539e-01  -1.048670e-01   0.000000e+00   0.000000e+00   3.193577e+00   1.737806e+00 
  CM1YG4C30B   1.597400e+01   2.782482e+00  -9.224034e-01   5.956425e+00   1.796410e+01    2.122539e-01  -1.048670e-01   0.000000e+00   0.000000e+00   3.193577e+00   1.737806e+00 
  CM1XG4C30B   1.597400e+01   2.782482e+00  -9.224034e-01   5.956425e+00   1.796410e+01    2.122539e-01  -1.048670e-01   0.000000e+00   0.000000e+00   3.193577e+00   1.737806e+00 
        DFCH   1.612400e+01   2.562328e+00  -9.378578e-01   5.154704e+00   1.824314e+01    1.965239e-01  -1.048670e-01   0.000000e+00   0.000000e+00   3.220650e+00   1.746092e+00 
    GEG4C30B   1.612400e+01   2.562328e+00  -9.378578e-01   5.154704e+00   1.824314e+01    1.965239e-01  -1.048670e-01   0.000000e+00   0.000000e+00   3.220650e+00   1.746092e+00 
    GSG5C30B   1.612400e+01   2.562328e+00  -9.378578e-01   5.154704e+00   1.824314e+01    1.965239e-01  -1.048670e-01   0.000000e+00   0.000000e+00   3.220650e+00   1.746092e+00 
    DM1DG5B1   1.622400e+01   2.415559e+00  -9.481607e-01   4.656915e+00   1.843174e+01    1.860372e-01  -1.048670e-01   0.000000e+00   0.000000e+00   3.241062e+00   1.751546e+00 
      DPWG5B   1.642400e+01   2.122020e+00  -9.687666e-01   3.749399e+00   1.881513e+01    1.650638e-01  -1.048670e-01   0.000000e+00   0.000000e+00   3.288943e+00   1.762285e+00 
    DM1CG5B1   1.669000e+01   1.731614e+00  -9.961724e-01   2.724333e+00   1.933780e+01    1.371692e-01  -1.048670e-01   0.000000e+00   0.000000e+00   3.372268e+00   1.776231e+00 
    B1G5C30B   1.931000e+01  -2.106719e+00  -1.162471e+00   3.705314e+00   2.502465e+01   -2.295084e-05  -5.145046e-05   0.000000e+00   0.000000e+00   5.546972e+00   1.895615e+00 
   MK2G5C30B   1.931000e+01  -2.106719e+00  -1.162471e+00   3.705314e+00   2.502465e+01   -2.295084e-05  -5.145046e-05   0.000000e+00   0.000000e+00   5.546972e+00   1.895615e+00 
    GEG5C30B   1.931000e+01  -2.106719e+00  -1.162471e+00   3.705314e+00   2.502465e+01   -2.295084e-05  -5.145046e-05   0.000000e+00   0.000000e+00   5.546972e+00   1.895615e+00 
     DL4BG6B   1.952780e+01  -2.426383e+00  -1.182935e+00   4.692624e+00   2.553548e+01   -3.415675e-05  -5.145046e-05   0.000000e+00   0.000000e+00   5.599228e+00   1.904231e+00 
    GSG6C30B   1.952780e+01  -2.426383e+00  -1.182935e+00   4.692624e+00   2.553548e+01   -3.415675e-05  -5.145046e-05   0.000000e+00   0.000000e+00   5.599228e+00   1.904231e+00 
     DL4AG6B   1.990100e+01  -2.974126e+00  -1.218001e+00   6.708093e+00   2.643151e+01   -5.335806e-05  -5.145046e-05   0.000000e+00   0.000000e+00   5.665794e+00   1.918597e+00 
   QL3G6C30B   2.016900e+01  -7.002617e+00   9.007208e+00   9.288707e+00   2.426464e+01   -7.033546e-05  -7.639618e-05   0.000000e+00   0.000000e+00   5.700373e+00   1.928988e+00 
      DBPM05   2.024722e+01  -7.423975e+00   8.742453e+00   1.041715e+01   2.287626e+01   -7.631117e-05  -7.639618e-05   0.000000e+00   0.000000e+00   5.708325e+00   1.932308e+00 
   PL2G6C30B   2.024722e+01  -7.423975e+00   8.742453e+00   1.041715e+01   2.287626e+01   -7.631117e-05  -7.639618e-05   0.000000e+00   0.000000e+00   5.708325e+00   1.932308e+00 
     DL3CG6B   2.033500e+01  -7.896830e+00   8.445339e+00   1.176201e+01   2.136752e+01   -8.301723e-05  -7.639618e-05   0.000000e+00   0.000000e+00   5.716255e+00   1.936278e+00 
   SL3G6C30B   2.053500e+01  -8.974195e+00   7.768389e+00   1.513622e+01   1.812477e+01   -9.829646e-05  -7.639618e-05   0.000000e+00   0.000000e+00   5.731245e+00   1.946441e+00 
     DL3BG6B   2.069250e+01  -9.822621e+00   7.235290e+00   1.809672e+01   1.576169e+01   -1.103289e-04  -7.639618e-05   0.000000e+00   0.000000e+00   5.740762e+00   1.955760e+00 
        DSCH   2.079250e+01  -1.036130e+01   6.896815e+00   2.011511e+01   1.434848e+01   -1.179685e-04  -7.639618e-05   0.000000e+00   0.000000e+00   5.746003e+00   1.962410e+00 
  CL2YG6C30B   2.079250e+01  -1.036130e+01   6.896815e+00   2.011511e+01   1.434848e+01   -1.179685e-04  -7.639618e-05   0.000000e+00   0.000000e+00   5.746003e+00   1.962410e+00 
  CL2XG6C30B   2.079250e+01  -1.036130e+01   6.896815e+00   2.011511e+01   1.434848e+01   -1.179685e-04  -7.639618e-05   0.000000e+00   0.000000e+00   5.746003e+00   1.962410e+00 
        DSCH   2.089250e+01  -1.089999e+01   6.558340e+00   2.224124e+01   1.300297e+01   -1.256081e-04  -7.639618e-05   0.000000e+00   0.000000e+00   5.750731e+00   1.969731e+00 
     DL3AG6B   2.109460e+01  -1.198866e+01   5.874282e+00   2.686704e+01   1.049033e+01   -1.410478e-04  -7.639618e-05   0.000000e+00   0.000000e+00   5.758999e+00   1.987036e+00 
   QL2G6C30B   2.155460e+01   1.077128e+01  -1.939233e+00   2.750900e+01   8.876291e+00   -1.485172e-04   4.493712e-05   0.000000e+00   0.000000e+00   5.774886e+00   2.037751e+00 
     DL2CG6B   2.179860e+01   9.733328e+00  -2.070098e+00   2.250588e+01   9.854567e+00   -1.375526e-04   4.493712e-05   0.000000e+00   0.000000e+00   5.784692e+00   2.063842e+00 
   SL2G6C30B   2.199860e+01   8.882549e+00  -2.177364e+00   1.878270e+01   1.070406e+01   -1.285652e-04   4.493712e-05   0.000000e+00   0.000000e+00   5.794420e+00   2.083317e+00 
     DL2BG6B   2.212985e+01   8.324225e+00  -2.247757e+00   1.652432e+01   1.128486e+01   -1.226672e-04   4.493712e-05   0.000000e+00   0.000000e+00   5.801870e+00   2.095259e+00 
