#set point, Properties, Tag 
# missing pulse magnet : pulsed septum (22.9988, SP1SI, 124),kick3 (24.3886, BU3SI, 127), kick4 (26.5139, BU4SI, 133), BPM (25.7139, P2SI, 130)
LTB-MG{Quad:8}I:Ps1DCCT1-I, elemHandle=get, elemIndex=57, elemName=Q8, devName=Q8, elemLength=0.15, elemPosition=10.0358, elemType=QUAD, system=LTB, elemField=b1, aphla.sys.LTB 
LTB-MG{Quad:9}I:Ps1DCCT1-I, elemHandle=get, elemIndex=61, elemName=Q9, devName=Q9, elemLength=0.15, elemPosition=11.0265, elemType=QUAD, system=LTB, elemField=b1, aphla.sys.LTB 
LTB-MG{Quad:10}I:Ps1DCCT1-I, elemHandle=get, elemIndex=84, elemName=Q10, devName=Q10, elemLength=0.15, elemPosition=14.6631, elemType=QUAD, system=LTB, elemField=b1, aphla.sys.LTB 
LTB-MG{Quad:11}I:Ps1DCCT1-I, elemHandle=get, elemIndex=96, elemName=Q11, devName=Q11, elemLength=0.15, elemPosition=16.7483, elemType=QUAD, system=LTB, elemField=b1, aphla.sys.LTB 
LTB-MG{Quad:12}I:Ps1DCCT1-I, elemHandle=get, elemIndex=98, elemName=Q12, devName=Q12, elemLength=0.15, elemPosition=17.6653, elemType=QUAD, system=LTB, elemField=b1, aphla.sys.LTB 
LTB-MG{Quad:13}I:Ps1DCCT1-I, elemHandle=get, elemIndex=104, elemName=Q13, devName=Q13, elemLength=0.15, elemPosition=18.5824, elemType=QUAD, system=LTB, elemField=b1, aphla.sys.LTB 
LTB-MG{Quad:14}I:Ps1DCCT1-I, elemHandle=get, elemIndex=106, elemName=Q14, devName=Q14, elemLength=0.15, elemPosition=19.4994, elemType=QUAD, system=LTB, elemField=b1, aphla.sys.LTB 
LTB-MG{Quad:15}I:Ps1DCCT1-I, elemHandle=get, elemIndex=114, elemName=Q15, devName=Q15, elemLength=0.15, elemPosition=20.3564, elemType=QUAD, system=LTB, elemField=b1, aphla.sys.LTB 

LTB-MG{Quad:7}RpStart1-Cmd, elemHandle=get, elemIndex=55, elemName=Q7, devName=Q7, elemLength=0.15, elemPosition=9.4818, elemType=QUAD, system=LTB, elemField=ramping, aphla.sys.LTB 
LTB-MG{Quad:8}RpStart1-Cmd, elemHandle=get, elemIndex=57, elemName=Q8, devName=Q8, elemLength=0.15, elemPosition=10.0358, elemType=QUAD, system=LTB, elemField=ramping, aphla.sys.LTB 
LTB-MG{Quad:9}RpStart1-Cmd, elemHandle=get, elemIndex=61, elemName=Q9, devName=Q9, elemLength=0.15, elemPosition=11.0265, elemType=QUAD, system=LTB, elemField=ramping, aphla.sys.LTB 
LTB-MG{Quad:10}RpStart1-Cmd, elemHandle=get, elemIndex=84, elemName=Q10, devName=Q10, elemLength=0.15, elemPosition=14.6631, elemType=QUAD, system=LTB, elemField=ramping, aphla.sys.LTB 
LTB-MG{Quad:11}RpStart1-Cmd, elemHandle=get, elemIndex=96, elemName=Q11, devName=Q11, elemLength=0.15, elemPosition=16.7483, elemType=QUAD, system=LTB, elemField=ramping, aphla.sys.LTB 
LTB-MG{Quad:12}RpStart1-Cmd, elemHandle=get, elemIndex=98, elemName=Q12, devName=Q12, elemLength=0.15, elemPosition=17.6653, elemType=QUAD, system=LTB, elemField=ramping, aphla.sys.LTB 
LTB-MG{Quad:13}RpStart1-Cmd, elemHandle=get, elemIndex=104, elemName=Q13, devName=Q13, elemLength=0.15, elemPosition=18.5824, elemType=QUAD, system=LTB, elemField=ramping, aphla.sys.LTB 
LTB-MG{Quad:14}RpStart1-Cmd, elemHandle=get, elemIndex=106, elemName=Q14, devName=Q14, elemLength=0.15, elemPosition=19.4994, elemType=QUAD, system=LTB, elemField=ramping, aphla.sys.LTB 
LTB-MG{Quad:15}RpStart1-Cmd, elemHandle=get, elemIndex=114, elemName=Q15, devName=Q15, elemLength=0.15, elemPosition=20.3564, elemType=QUAD, system=LTB, elemField=ramping, aphla.sys.LTB 

LTB-MG{Cor:5}I:Ps1DCCT1-I, elemHandle=get, elemIndex=64, elemName=CX5, devName=C5, elemLength=0., elemPosition=11.1398, elemType=HCOR, system=LTB, elemField=x, aphla.sys.LTB 
LTB-MG{Cor:5}I:Ps2DCCT1-I, elemHandle=get, elemIndex=65, elemName=CY5, devName=C5, elemLength=0., elemPosition=11.1398, elemType=VCOR, system=LTB, elemField=y, aphla.sys.LTB 
LTB-MG{Cor:6}I:Ps1DCCT1-I, elemHandle=get, elemIndex=93, elemName=CX6, devName=C6, elemLength=0., elemPosition=16.362, elemType=HCOR, system=LTB, elemField=x, aphla.sys.LTB 
