# 2011-04-13T18:38:43
SR:C01-BI:G04B{BPM:M1}BBA:Y; HANDLE=READBACK, CELL=C01, DEV_NAME=PM1G4C01B, ELEM_NAME=PM1G4C01B, ELEM_TYPE=BPMY, GIRDER=G4, LENGTH=0.0, ORDINAL=171, S_POSITION=40.5345, SYMMETRY=B,; ~tags= HLA.Y
SR:C01-BI:G04B{BPM:M1}GOLDEN:X; HANDLE=SETPOINT, CELL=C01, DEV_NAME=PM1G4C01B, ELEM_NAME=PM1G4C01B, ELEM_TYPE=BPMX, GIRDER=G4, LENGTH=0.0, ORDINAL=171, S_POSITION=40.5345, SYMMETRY=B,; ~tags=HLA.OFFSET HLA.EPUT HLA.X
SR:C01-BI:G04B{BPM:M1}GOLDEN:Y; HANDLE=SETPOINT, CELL=C01, DEV_NAME=PM1G4C01B, ELEM_NAME=PM1G4C01B, ELEM_TYPE=BPMY, GIRDER=G4, LENGTH=0.0, ORDINAL=171, S_POSITION=40.5345, SYMMETRY=B,; ~tags=HLA.OFFSET HLA.EPUT HLA.Y
SR:C01-BI:G04B{BPM:M1}SA:X-I; HANDLE=READBACK, CELL=C01, DEV_NAME=PM1G4C01B, ELEM_NAME=PM1G4C01B, ELEM_TYPE=BPMX, GIRDER=G4, LENGTH=0.0, ORDINAL=171, S_POSITION=40.5345, SYMMETRY=B,; ~tags= HLA.EGET HLA.X
SR:C01-BI:G04B{BPM:M1}SA:Y-I; HANDLE=READBACK, CELL=C01, DEV_NAME=PM1G4C01B, ELEM_NAME=PM1G4C01B, ELEM_TYPE=BPMY, GIRDER=G4, LENGTH=0.0, ORDINAL=171, S_POSITION=40.5345, SYMMETRY=B,; ~tags= HLA.EGET HLA.Y
SR:C01-BI:G06B{BPM:H1}BBA:X; HANDLE=READBACK, CELL=C01, DEV_NAME=PH1G6C01B, ELEM_NAME=PH1G6C01B, ELEM_TYPE=BPMX, GIRDER=G6, LENGTH=0.0, ORDINAL=207, S_POSITION=47.8618, SYMMETRY=B,; ~tags= HLA.X
SR:C01-BI:G06B{BPM:H1}BBA:Y; HANDLE=READBACK, CELL=C01, DEV_NAME=PH1G6C01B, ELEM_NAME=PH1G6C01B, ELEM_TYPE=BPMY, GIRDER=G6, LENGTH=0.0, ORDINAL=207, S_POSITION=47.8618, SYMMETRY=B,; ~tags= HLA.Y
SR:C01-BI:G06B{BPM:H1}GOLDEN:X; HANDLE=SETPOINT, CELL=C01, DEV_NAME=PH1G6C01B, ELEM_NAME=PH1G6C01B, ELEM_TYPE=BPMX, GIRDER=G6, LENGTH=0.0, ORDINAL=207, S_POSITION=47.8618, SYMMETRY=B,; ~tags=HLA.OFFSET HLA.EPUT HLA.X
SR:C01-BI:G06B{BPM:H1}GOLDEN:Y; HANDLE=SETPOINT, CELL=C01, DEV_NAME=PH1G6C01B, ELEM_NAME=PH1G6C01B, ELEM_TYPE=BPMY, GIRDER=G6, LENGTH=0.0, ORDINAL=207, S_POSITION=47.8618, SYMMETRY=B,; ~tags=HLA.OFFSET HLA.EPUT HLA.Y
SR:C01-BI:G06B{BPM:H1}SA:X-I; HANDLE=READBACK, CELL=C01, DEV_NAME=PH1G6C01B, ELEM_NAME=PH1G6C01B, ELEM_TYPE=BPMX, GIRDER=G6, LENGTH=0.0, ORDINAL=207, S_POSITION=47.8618, SYMMETRY=B,; ~tags= HLA.EGET HLA.X
SR:C01-BI:G06B{BPM:H1}SA:Y-I; HANDLE=READBACK, CELL=C01, DEV_NAME=PH1G6C01B, ELEM_NAME=PH1G6C01B, ELEM_TYPE=BPMY, GIRDER=G6, LENGTH=0.0, ORDINAL=207, S_POSITION=47.8618, SYMMETRY=B,; ~tags= HLA.EGET HLA.Y
SR:C01-BI:G06B{BPM:H2}BBA:X; HANDLE=READBACK, CELL=C01, DEV_NAME=PH2G6C01B, ELEM_NAME=PH2G6C01B, ELEM_TYPE=BPMX, GIRDER=G6, LENGTH=0.0, ORDINAL=193, S_POSITION=45.3368, SYMMETRY=B,; ~tags= HLA.X
SR:C01-BI:G06B{BPM:H2}BBA:Y; HANDLE=READBACK, CELL=C01, DEV_NAME=PH2G6C01B, ELEM_NAME=PH2G6C01B, ELEM_TYPE=BPMY, GIRDER=G6, LENGTH=0.0, ORDINAL=193, S_POSITION=45.3368, SYMMETRY=B,; ~tags= HLA.Y
SR:C01-BI:G06B{BPM:H2}GOLDEN:X; HANDLE=SETPOINT, CELL=C01, DEV_NAME=PH2G6C01B, ELEM_NAME=PH2G6C01B, ELEM_TYPE=BPMX, GIRDER=G6, LENGTH=0.0, ORDINAL=193, S_POSITION=45.3368, SYMMETRY=B,; ~tags=HLA.OFFSET HLA.EPUT HLA.X
SR:C01-BI:G06B{BPM:H2}GOLDEN:Y; HANDLE=SETPOINT, CELL=C01, DEV_NAME=PH2G6C01B, ELEM_NAME=PH2G6C01B, ELEM_TYPE=BPMY, GIRDER=G6, LENGTH=0.0, ORDINAL=193, S_POSITION=45.3368, SYMMETRY=B,; ~tags=HLA.OFFSET HLA.EPUT HLA.Y
SR:C01-BI:G06B{BPM:H2}SA:X-I; HANDLE=READBACK, CELL=C01, DEV_NAME=PH2G6C01B, ELEM_NAME=PH2G6C01B, ELEM_TYPE=BPMX, GIRDER=G6, LENGTH=0.0, ORDINAL=193, S_POSITION=45.3368, SYMMETRY=B,; ~tags= HLA.EGET HLA.X
SR:C01-BI:G06B{BPM:H2}SA:Y-I; HANDLE=READBACK, CELL=C01, DEV_NAME=PH2G6C01B, ELEM_NAME=PH2G6C01B, ELEM_TYPE=BPMY, GIRDER=G6, LENGTH=0.0, ORDINAL=193, S_POSITION=45.3368, SYMMETRY=B,; ~tags= HLA.EGET HLA.Y
SR:C01-MG:G01A{HFCor:FL1}Fld-I; HANDLE=READBACK, CELL=C01, DEV_NAME=FL1G1C01A, ELEM_NAME=FXL1G1C01A, ELEM_TYPE=TRIMX, GIRDER=G1, LENGTH=0.044, ORDINAL=104, S_POSITION=23.5891, SYMMETRY=A,; ~tags= HLA.EGET HLA.X
SR:C01-MG:G01A{HFCor:FL1}Fld-SP; HANDLE=SETPOINT, CELL=C01, DEV_NAME=FL1G1C01A, ELEM_NAME=FXL1G1C01A, ELEM_TYPE=TRIMX, GIRDER=G1, LENGTH=0.044, ORDINAL=104, S_POSITION=23.5891, SYMMETRY=A,; ~tags= HLA.EPUT HLA.X
SR:C01-MG:G01A{HFCor:FL2}Fld-I; HANDLE=READBACK, CELL=C01, DEV_NAME=FL2G1C01A, ELEM_NAME=FXL2G1C01A, ELEM_TYPE=TRIMX, GIRDER=G1, LENGTH=0.044, ORDINAL=113, S_POSITION=29.3863, SYMMETRY=A,; ~tags= HLA.EGET HLA.X
