#   read back           ;             Properties          ;              Tag   
LTB:MG{HCor:6}Fld-I;  HANDLE=readback, ORDINAL= 96  ,  ELEM_NAME=C6   , DEV_NAME=C6   ,LENGTH=0.15 , S_POSITION=16.39698  , ELEM_TYPE=HCOR , SYSTEM=LTB  ; HLA.EGET, HLA.X
LTB:MG{VCor:6}Fld-I;  HANDLE=readback, ORDINAL= 97  ,  ELEM_NAME=C6   , DEV_NAME=C6   ,LENGTH=0.15 , S_POSITION=16.39698  , ELEM_TYPE=VCOR , SYSTEM=LTB  ; HLA.EGET, HLA.Y
LTB:MG{Quad:11}Fld-I;   HANDLE=readback, ORDINAL= 100  ,  ELEM_NAME=Q11 , DEV_NAME=Q11 ,  LENGTH=0.15 , S_POSITION=16.74827  , ELEM_TYPE=QUAD , SYSTEM=LTB  ; HLA.EGET
LTB:MG{Quad:12}Fld-I;   HANDLE=readback, ORDINAL= 102  ,  ELEM_NAME=Q12 , DEV_NAME=Q12 ,  LENGTH=0.15 , S_POSITION=17.66527  , ELEM_TYPE=QUAD , SYSTEM=LTB  ; HLA.EGET
LTB:MG{HCor:7}Fld-I;  HANDLE=readback, ORDINAL= 105  ,  ELEM_NAME=C7   , DEV_NAME=C7   ,LENGTH=0.15 , S_POSITION=18.11317  , ELEM_TYPE=HCOR, SYSTEM=LTB  ; HLA.EGET, HLA.X
LTB:MG{VCor:7}Fld-I;  HANDLE=readback, ORDINAL= 106  ,  ELEM_NAME=C7   , DEV_NAME=C7   ,LENGTH=0.15 , S_POSITION=18.11317  , ELEM_TYPE=VCOR , SYSTEM=LTB  ; HLA.EGET, HLA.Y
LTB:MG{Quad:13}Fld-I;   HANDLE=readback, ORDINAL= 109  ,  ELEM_NAME=Q13 , DEV_NAME=Q13 ,  LENGTH=0.15 , S_POSITION=18.58237  , ELEM_TYPE=QUAD , SYSTEM=LTB  ; HLA.EGET
LTB:MG{Quad:14}Fld-I;   HANDLE=readback, ORDINAL= 117  ,  ELEM_NAME=Q14 , DEV_NAME=Q14 ,  LENGTH=0.15 , S_POSITION=19.49937  , ELEM_TYPE=QUAD , SYSTEM=LTB  ; HLA.EGET
LTB:MG{Quad:15}Fld-I;   HANDLE=readback, ORDINAL= 119  ,  ELEM_NAME=Q15 , DEV_NAME=Q15 ,  LENGTH=0.15 , S_POSITION=20.41637  , ELEM_TYPE=QUAD , SYSTEM=LTB  ; HLA.EGET
LTB:MG{HCor:8}Fld-I;  HANDLE=readback, ORDINAL= 122  ,  ELEM_NAME=C8   , DEV_NAME=C8   ,LENGTH=0.15 , S_POSITION=20.67106  , ELEM_TYPE=HCOR , SYSTEM=LTB  ; HLA.EGET, HLA.X
