PV,cell,devName,elemField,elemName,elemType,girder,handle,hostName,iocName,length,ordinal,sEnd,symmetry,system
V:1-SR:C30-MG:G4{CH:67}Fld:I,C30,,,ch_067,HCOR,G4,readback,,,,67,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.x
V:1-SR:C30-MG:G4{CV:68}Fld:SP,C30,,,cv_068,VCOR,G4,setpoint,,,,68,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.y
V:1-SR:C30-MG:G4{CV:68}Fld:I,C30,,,cv_068,VCOR,G4,readback,,,,68,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.y
V:1-SR:C30-MG:G5{B1:75}Fld:SP,C30,,,b1g5c30b,DIPOLE,G5,setpoint,,,,75,,,V:1-SR,aphla.sys.V1SR
V:1-SR:C30-MG:G5{B1:75}Fld:I,C30,,,b1g5c30b,DIPOLE,G5,readback,,,,75,,,V:1-SR,aphla.sys.V1SR
V:1-SR:C30-MG:G6{QL3:80}Fld:SP,C30,,,ql3g6c30b,QUAD,G6,setpoint,,,,80,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C30-MG:G6{QL3:80}Fld:I,C30,,,ql3g6c30b,QUAD,G6,readback,,,,80,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C30-BI:G6{BPM:82}SA:X,C30,,,p_bpm_082,BPM,G6,X,,,,82,,,V:1-SR,aphla.sys.V1SR
V:1-SR:C30-BI:G6{BPM:82}SA:Y,C30,,,p_bpm_082,BPM,G6,Y,,,,82,,,V:1-SR,aphla.sys.V1SR
V:1-SR:C30-MG:G6{SL3:84}Fld:SP,C30,,,sl3g6c30b,SEXT,G6,setpoint,,,,84,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k2
V:1-SR:C30-MG:G6{SL3:84}Fld:I,C30,,,sl3g6c30b,SEXT,G6,readback,,,,84,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k2
V:1-SR:C30-MG:G6{CH:87}Fld:SP,C30,,,ch_087,HCOR,G6,setpoint,,,,87,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.x
V:1-SR:C30-MG:G6{CH:87}Fld:I,C30,,,ch_087,HCOR,G6,readback,,,,87,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.x
V:1-SR:C30-MG:G6{CV:88}Fld:SP,C30,,,cv_088,VCOR,G6,setpoint,,,,88,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.y
V:1-SR:C30-MG:G6{CV:88}Fld:I,C30,,,cv_088,VCOR,G6,readback,,,,88,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.y
V:1-SR:C30-MG:G6{QL2:91}Fld:SP,C30,,,ql2g6c30b,QUAD,G6,setpoint,,,,91,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C30-MG:G6{QL2:91}Fld:I,C30,,,ql2g6c30b,QUAD,G6,readback,,,,91,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C30-MG:G6{SL2:93}Fld:SP,C30,,,sl2g6c30b,SEXT,G6,setpoint,,,,93,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k2
V:1-SR:C30-MG:G6{SL2:93}Fld:I,C30,,,sl2g6c30b,SEXT,G6,readback,,,,93,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k2
V:1-SR:C30-MG:G6{CH:96}Fld:SP,C30,,,ch_096,HCOR,G6,setpoint,,,,96,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.x
V:1-SR:C30-MG:G6{CH:96}Fld:I,C30,,,ch_096,HCOR,G6,readback,,,,96,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.x
V:1-SR:C30-MG:G6{CV:97}Fld:SP,C30,,,cv_097,VCOR,G6,setpoint,,,,97,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.y
V:1-SR:C30-MG:G6{CV:97}Fld:I,C30,,,cv_097,VCOR,G6,readback,,,,97,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.y
V:1-SR:C30-MG:G6{QL1:100}Fld:SP,C30,,,ql1g6c30b,QUAD,G6,setpoint,,,,100,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C30-MG:G6{QL1:100}Fld:I,C30,,,ql1g6c30b,QUAD,G6,readback,,,,100,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C30-BI:G6{BPM:102}SA:X,C30,,,p_bpm_102,BPM,G6,X,,,,102,,,V:1-SR,aphla.sys.V1SR
V:1-SR:C30-BI:G6{BPM:102}SA:Y,C30,,,p_bpm_102,BPM,G6,Y,,,,102,,,V:1-SR,aphla.sys.V1SR
V:1-SR:C30-MG:G6{SL1:104}Fld:SP,C30,,,sl1g6c30b,SEXT,G6,setpoint,,,,104,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k2
V:1-SR:C30-MG:G6{SL1:104}Fld:I,C30,,,sl1g6c30b,SEXT,G6,readback,,,,104,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k2
V:1-SR:C01-MG:G2{SL1:121}Fld:SP,C01,,,sl1g2c01a,SEXT,G2,setpoint,,,,121,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k2
V:1-SR:C01-MG:G2{SL1:121}Fld:I,C01,,,sl1g2c01a,SEXT,G2,readback,,,,121,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k2
V:1-SR:C01-BI:G2{BPM:123}SA:X,C01,,,p_bpm_123,BPM,G2,X,,,,123,,,V:1-SR,aphla.sys.V1SR
V:1-SR:C01-BI:G2{BPM:123}SA:Y,C01,,,p_bpm_123,BPM,G2,Y,,,,123,,,V:1-SR,aphla.sys.V1SR
V:1-SR:C01-MG:G2{QL1:125}Fld:SP,C01,,,ql1g2c01a,QUAD,G2,setpoint,,,,125,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C01-MG:G2{QL1:125}Fld:I,C01,,,ql1g2c01a,QUAD,G2,readback,,,,125,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C01-MG:G2{CH:128}Fld:SP,C01,,,ch_128,HCOR,G2,setpoint,,,,128,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.x
V:1-SR:C01-MG:G2{CH:128}Fld:I,C01,,,ch_128,HCOR,G2,readback,,,,128,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.x
V:1-SR:C01-MG:G2{CV:129}Fld:SP,C01,,,cv_129,VCOR,G2,setpoint,,,,129,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.y
V:1-SR:C01-MG:G2{CV:129}Fld:I,C01,,,cv_129,VCOR,G2,readback,,,,129,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.y
V:1-SR:C01-MG:G2{SL2:132}Fld:SP,C01,,,sl2g2c01a,SEXT,G2,setpoint,,,,132,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k2
V:1-SR:C01-MG:G2{SL2:132}Fld:I,C01,,,sl2g2c01a,SEXT,G2,readback,,,,132,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k2
V:1-SR:C01-MG:G2{QL2:134}Fld:SP,C01,,,ql2g2c01a,QUAD,G2,setpoint,,,,134,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C01-MG:G2{QL2:134}Fld:I,C01,,,ql2g2c01a,QUAD,G2,readback,,,,134,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C01-MG:G2{CH:137}Fld:SP,C01,,,ch_137,HCOR,G2,setpoint,,,,137,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.x
V:1-SR:C01-MG:G2{CH:137}Fld:I,C01,,,ch_137,HCOR,G2,readback,,,,137,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.x
V:1-SR:C01-MG:G2{CV:138}Fld:SP,C01,,,cv_138,VCOR,G2,setpoint,,,,138,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.y
V:1-SR:C01-MG:G2{CV:138}Fld:I,C01,,,cv_138,VCOR,G2,readback,,,,138,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.y
V:1-SR:C01-MG:G2{SL3:141}Fld:SP,C01,,,sl3g2c01a,SEXT,G2,setpoint,,,,141,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k2
V:1-SR:C01-MG:G2{SL3:141}Fld:I,C01,,,sl3g2c01a,SEXT,G2,readback,,,,141,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k2
V:1-SR:C01-BI:G2{BPM:143}SA:X,C01,,,p_bpm_143,BPM,G2,X,,,,143,,,V:1-SR,aphla.sys.V1SR
V:1-SR:C01-BI:G2{BPM:143}SA:Y,C01,,,p_bpm_143,BPM,G2,Y,,,,143,,,V:1-SR,aphla.sys.V1SR
V:1-SR:C01-MG:G2{QL3:145}Fld:SP,C01,,,ql3g2c01a,QUAD,G2,setpoint,,,,145,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C01-MG:G2{QL3:145}Fld:I,C01,,,ql3g2c01a,QUAD,G2,readback,,,,145,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C01-MG:G3{B1:150}Fld:SP,C01,,,b1g3c01a,DIPOLE,G3,setpoint,,,,150,,,V:1-SR,aphla.sys.V1SR
V:1-SR:C01-MG:G3{B1:150}Fld:I,C01,,,b1g3c01a,DIPOLE,G3,readback,,,,150,,,V:1-SR,aphla.sys.V1SR
V:1-SR:C01-MG:G4{SQMH:154}Fld:SP,C01,,,sqmhg4c01a,QUAD,G4,setpoint,,,,154,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C01-MG:G4{SQMH:154}Fld:I,C01,,,sqmhg4c01a,QUAD,G4,readback,,,,154,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C01-MG:G4{CH:155}Fld:SP,C01,,,ch_155,HCOR,G4,setpoint,,,,155,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.x
V:1-SR:C01-MG:G4{CH:155}Fld:I,C01,,,ch_155,HCOR,G4,readback,,,,155,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.x
V:1-SR:C01-MG:G4{CV:156}Fld:SP,C01,,,cv_156,VCOR,G4,setpoint,,,,156,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.y
V:1-SR:C01-MG:G4{CV:156}Fld:I,C01,,,cv_156,VCOR,G4,readback,,,,156,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.y
V:1-SR:C01-MG:G4{SQMH:157}Fld:SP,C01,,,sqmhg4c01a,QUAD,G4,setpoint,,,,157,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C01-MG:G4{SQMH:157}Fld:I,C01,,,sqmhg4c01a,QUAD,G4,readback,,,,157,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
