#pv_name, el_idx_va, machine, cell, girder, handle, el_name_va, el_field_va, el_type_va
V:2-SR:C30-MG:G6{QL2:94}Fld:SP,94,V:2-SR,C30,G6,setpoint,QL2G6C30B,K,Quadrupole
V:2-SR:C30-MG:G6{QL2:94}Fld:I,94,V:2-SR,C30,G6,readback,QL2G6C30B,K,Quadrupole
V:2-SR:C30-MG:G6{SL2:96}Fld:SP,96,V:2-SR,C30,G6,setpoint,SL2G6C30B,K,Sextupole
V:2-SR:C30-MG:G6{SL2:96}Fld:I,96,V:2-SR,C30,G6,readback,SL2G6C30B,K,Sextupole
V:2-SR:C30-MG:G6{CXL1:99}Fld:SP,99,V:2-SR,C30,G6,setpoint,CXL1G6C30B,,Horizontal Corrector
V:2-SR:C30-MG:G6{CXL1:99}Fld:I,99,V:2-SR,C30,G6,readback,CXL1G6C30B,,Horizontal Corrector
V:2-SR:C30-MG:G6{CYL1:100}Fld:SP,100,V:2-SR,C30,G6,setpoint,CYL1G6C30B,,Vertical Corrector
V:2-SR:C30-MG:G6{CYL1:100}Fld:I,100,V:2-SR,C30,G6,readback,CYL1G6C30B,,Vertical Corrector
V:2-SR:C30-MG:G6{QL1:103}Fld:SP,103,V:2-SR,C30,G6,setpoint,QL1G6C30B,K,Quadrupole
V:2-SR:C30-MG:G6{QL1:103}Fld:I,103,V:2-SR,C30,G6,readback,QL1G6C30B,K,Quadrupole
V:2-SR:C30-BI:G6{PL1:105}SA:X,105,V:2-SR,C30,G6,readback,PL1G6C30B,X,Beam Position Monitor
V:2-SR:C30-BI:G6{PL1:105}SA:Y,105,V:2-SR,C30,G6,readback,PL1G6C30B,Y,Beam Position Monitor
V:2-SR:C30-MG:G6{SL1:107}Fld:SP,107,V:2-SR,C30,G6,setpoint,SL1G6C30B,K,Sextupole
V:2-SR:C30-MG:G6{SL1:107}Fld:I,107,V:2-SR,C30,G6,readback,SL1G6C30B,K,Sextupole
V:2-SR:C01-MG:G1{FXL1:112}Fld:SP,112,V:2-SR,C01,G1,setpoint,FXL1G1C01A,,Horizontal Corrector
V:2-SR:C01-MG:G1{FXL1:112}Fld:I,112,V:2-SR,C01,G1,readback,FXL1G1C01A,,Horizontal Corrector
V:2-SR:C01-MG:G1{FYL1:113}Fld:SP,113,V:2-SR,C01,G1,setpoint,FYL1G1C01A,,Vertical Corrector
V:2-SR:C01-MG:G1{FYL1:113}Fld:I,113,V:2-SR,C01,G1,readback,FYL1G1C01A,,Vertical Corrector
V:2-SR:C01-MG:G1{FXL2:122}Fld:SP,122,V:2-SR,C01,G1,setpoint,FXL2G1C01A,,Horizontal Corrector
V:2-SR:C01-MG:G1{FXL2:122}Fld:I,122,V:2-SR,C01,G1,readback,FXL2G1C01A,,Horizontal Corrector
V:2-SR:C01-MG:G1{FYL2:123}Fld:SP,123,V:2-SR,C01,G1,setpoint,FYL2G1C01A,,Vertical Corrector
V:2-SR:C01-MG:G1{FYL2:123}Fld:I,123,V:2-SR,C01,G1,readback,FYL2G1C01A,,Vertical Corrector
V:2-SR:C01-MG:G2{SL1:128}Fld:SP,128,V:2-SR,C01,G2,setpoint,SL1G2C01A,K,Sextupole
V:2-SR:C01-MG:G2{SL1:128}Fld:I,128,V:2-SR,C01,G2,readback,SL1G2C01A,K,Sextupole
V:2-SR:C01-BI:G2{PL1:130}SA:X,130,V:2-SR,C01,G2,readback,PL1G2C01A,X,Beam Position Monitor
V:2-SR:C01-BI:G2{PL1:130}SA:Y,130,V:2-SR,C01,G2,readback,PL1G2C01A,Y,Beam Position Monitor
V:2-SR:C01-MG:G2{QL1:132}Fld:SP,132,V:2-SR,C01,G2,setpoint,QL1G2C01A,K,Quadrupole
V:2-SR:C01-MG:G2{QL1:132}Fld:I,132,V:2-SR,C01,G2,readback,QL1G2C01A,K,Quadrupole
V:2-SR:C01-MG:G2{CXL1:135}Fld:SP,135,V:2-SR,C01,G2,setpoint,CXL1G2C01A,,Horizontal Corrector
V:2-SR:C01-MG:G2{CXL1:135}Fld:I,135,V:2-SR,C01,G2,readback,CXL1G2C01A,,Horizontal Corrector
V:2-SR:C01-MG:G2{CYL1:136}Fld:SP,136,V:2-SR,C01,G2,setpoint,CYL1G2C01A,,Vertical Corrector
V:2-SR:C01-MG:G2{CYL1:136}Fld:I,136,V:2-SR,C01,G2,readback,CYL1G2C01A,,Vertical Corrector
V:2-SR:C01-MG:G2{SL2:139}Fld:SP,139,V:2-SR,C01,G2,setpoint,SL2G2C01A,K,Sextupole
V:2-SR:C01-MG:G2{SL2:139}Fld:I,139,V:2-SR,C01,G2,readback,SL2G2C01A,K,Sextupole
V:2-SR:C01-MG:G2{QL2:141}Fld:SP,141,V:2-SR,C01,G2,setpoint,QL2G2C01A,K,Quadrupole
V:2-SR:C01-MG:G2{QL2:141}Fld:I,141,V:2-SR,C01,G2,readback,QL2G2C01A,K,Quadrupole
V:2-SR:C01-MG:G2{CXL2:144}Fld:SP,144,V:2-SR,C01,G2,setpoint,CXL2G2C01A,,Horizontal Corrector
V:2-SR:C01-MG:G2{CXL2:144}Fld:I,144,V:2-SR,C01,G2,readback,CXL2G2C01A,,Horizontal Corrector
V:2-SR:C01-MG:G2{CYL2:145}Fld:SP,145,V:2-SR,C01,G2,setpoint,CYL2G2C01A,,Vertical Corrector
V:2-SR:C01-MG:G2{CYL2:145}Fld:I,145,V:2-SR,C01,G2,readback,CYL2G2C01A,,Vertical Corrector
V:2-SR:C01-MG:G2{SL3:148}Fld:SP,148,V:2-SR,C01,G2,setpoint,SL3G2C01A,K,Sextupole
V:2-SR:C01-MG:G2{SL3:148}Fld:I,148,V:2-SR,C01,G2,readback,SL3G2C01A,K,Sextupole
V:2-SR:C01-BI:G2{PL2:150}SA:X,150,V:2-SR,C01,G2,readback,PL2G2C01A,X,Beam Position Monitor
V:2-SR:C01-BI:G2{PL2:150}SA:Y,150,V:2-SR,C01,G2,readback,PL2G2C01A,Y,Beam Position Monitor
V:2-SR:C01-MG:G2{QL3:152}Fld:SP,152,V:2-SR,C01,G2,setpoint,QL3G2C01A,K,Quadrupole
V:2-SR:C01-MG:G2{QL3:152}Fld:I,152,V:2-SR,C01,G2,readback,QL3G2C01A,K,Quadrupole
V:2-SR:C01-MG:G3{B1:157}Fld:SP,157,V:2-SR,C01,G3,setpoint,B1G3C01A,T,Bending
V:2-SR:C01-MG:G3{B1:157}Fld:I,157,V:2-SR,C01,G3,readback,B1G3C01A,T,Bending
V:2-SR:C01-MG:G4{SQMH:161}Fld:SP,161,V:2-SR,C01,G4,setpoint,SQMHG4C01A,K,Quadrupole
V:2-SR:C01-MG:G4{SQMH:161}Fld:I,161,V:2-SR,C01,G4,readback,SQMHG4C01A,K,Quadrupole
V:2-SR:C01-MG:G4{CXM1:162}Fld:SP,162,V:2-SR,C01,G4,setpoint,CXM1G4C01A,,Horizontal Corrector
V:2-SR:C01-MG:G4{CXM1:162}Fld:I,162,V:2-SR,C01,G4,readback,CXM1G4C01A,,Horizontal Corrector
V:2-SR:C01-MG:G4{CYM1:163}Fld:SP,163,V:2-SR,C01,G4,setpoint,CYM1G4C01A,,Vertical Corrector
V:2-SR:C01-MG:G4{CYM1:163}Fld:I,163,V:2-SR,C01,G4,readback,CYM1G4C01A,,Vertical Corrector
V:2-SR:C01-MG:G4{SQMH:164}Fld:SP,164,V:2-SR,C01,G4,setpoint,SQMHG4C01A,K,Quadrupole
V:2-SR:C01-MG:G4{SQMH:164}Fld:I,164,V:2-SR,C01,G4,readback,SQMHG4C01A,K,Quadrupole
V:2-SR:C01-MG:G4{QM1:166}Fld:SP,166,V:2-SR,C01,G4,setpoint,QM1G4C01A,K,Quadrupole
V:2-SR:C01-MG:G4{QM1:166}Fld:I,166,V:2-SR,C01,G4,readback,QM1G4C01A,K,Quadrupole
V:2-SR:C01-MG:G4{SM1:168}Fld:SP,168,V:2-SR,C01,G4,setpoint,SM1G4C01A,K,Sextupole
V:2-SR:C01-MG:G4{SM1:168}Fld:I,168,V:2-SR,C01,G4,readback,SM1G4C01A,K,Sextupole
V:2-SR:C01-MG:G4{FXM1:171}Fld:SP,171,V:2-SR,C01,G4,setpoint,FXM1G4C01A,,Horizontal Corrector
V:2-SR:C01-MG:G4{FXM1:171}Fld:I,171,V:2-SR,C01,G4,readback,FXM1G4C01A,,Horizontal Corrector
V:2-SR:C01-MG:G4{FYM1:172}Fld:SP,172,V:2-SR,C01,G4,setpoint,FYM1G4C01A,,Vertical Corrector
V:2-SR:C01-MG:G4{FYM1:172}Fld:I,172,V:2-SR,C01,G4,readback,FYM1G4C01A,,Vertical Corrector
V:2-SR:C01-BI:G4{PM1:175}SA:X,175,V:2-SR,C01,G4,readback,PM1G4C01A,X,Beam Position Monitor
V:2-SR:C01-BI:G4{PM1:175}SA:Y,175,V:2-SR,C01,G4,readback,PM1G4C01A,Y,Beam Position Monitor
V:2-SR:C01-MG:G4{QM2:177}Fld:SP,177,V:2-SR,C01,G4,setpoint,QM2G4C01A,K,Quadrupole
V:2-SR:C01-MG:G4{QM2:177}Fld:I,177,V:2-SR,C01,G4,readback,QM2G4C01A,K,Quadrupole
V:2-SR:C01-MG:G4{SM2:179}Fld:SP,179,V:2-SR,C01,G4,setpoint,SM2G4C01B,K,Sextupole
V:2-SR:C01-MG:G4{SM2:179}Fld:I,179,V:2-SR,C01,G4,readback,SM2G4C01B,K,Sextupole
V:2-SR:C01-MG:G4{QM2:181}Fld:SP,181,V:2-SR,C01,G4,setpoint,QM2G4C01B,K,Quadrupole
V:2-SR:C01-MG:G4{QM2:181}Fld:I,181,V:2-SR,C01,G4,readback,QM2G4C01B,K,Quadrupole
V:2-SR:C01-MG:G4{SM1:183}Fld:SP,183,V:2-SR,C01,G4,setpoint,SM1G4C01B,K,Sextupole
V:2-SR:C01-MG:G4{SM1:183}Fld:I,183,V:2-SR,C01,G4,readback,SM1G4C01B,K,Sextupole
V:2-SR:C01-BI:G4{PM1:185}SA:X,185,V:2-SR,C01,G4,readback,PM1G4C01B,X,Beam Position Monitor
V:2-SR:C01-BI:G4{PM1:185}SA:Y,185,V:2-SR,C01,G4,readback,PM1G4C01B,Y,Beam Position Monitor
V:2-SR:C01-MG:G4{QM1:187}Fld:SP,187,V:2-SR,C01,G4,setpoint,QM1G4C01B,K,Quadrupole
V:2-SR:C01-MG:G4{QM1:187}Fld:I,187,V:2-SR,C01,G4,readback,QM1G4C01B,K,Quadrupole
V:2-SR:C01-MG:G4{CXM1:190}Fld:SP,190,V:2-SR,C01,G4,setpoint,CXM1G4C01B,,Horizontal Corrector
V:2-SR:C01-MG:G4{CXM1:190}Fld:I,190,V:2-SR,C01,G4,readback,CXM1G4C01B,,Horizontal Corrector
V:2-SR:C01-MG:G4{CYM1:191}Fld:SP,191,V:2-SR,C01,G4,setpoint,CYM1G4C01B,,Vertical Corrector
V:2-SR:C01-MG:G4{CYM1:191}Fld:I,191,V:2-SR,C01,G4,readback,CYM1G4C01B,,Vertical Corrector
V:2-SR:C01-MG:G5{B1:198}Fld:SP,198,V:2-SR,C01,G5,setpoint,B1G5C01B,T,Bending
V:2-SR:C01-MG:G5{B1:198}Fld:I,198,V:2-SR,C01,G5,readback,B1G5C01B,T,Bending
V:2-SR:C01-MG:G6{CXH2:203}Fld:SP,203,V:2-SR,C01,G6,setpoint,CXH2G6C01B,,Horizontal Corrector
