#pv_name, el_idx_va, machine, cell, girder, handle, el_name_va, el_field_va, el_type_va
V:3-BSR-MG{SQHHG2C30A_T1:181}Fld:SP,181,V:3-BSR,,,setpoint,SQHHG2C30A_T1,K,Quadrupole
V:3-BSR-MG{SQHHG2C30A_T1:181}Fld:I,181,V:3-BSR,,,readback,SQHHG2C30A_T1,K,Quadrupole
V:3-BSR-MG{CXH1G2C30A_T1:182}Fld:SP,182,V:3-BSR,,,setpoint,CXH1G2C30A_T1,,Horizontal Corrector
V:3-BSR-MG{CXH1G2C30A_T1:182}Fld:I,182,V:3-BSR,,,readback,CXH1G2C30A_T1,,Horizontal Corrector
V:3-BSR-MG{CYH1G2C30A_T1:183}Fld:SP,183,V:3-BSR,,,setpoint,CYH1G2C30A_T1,,Vertical Corrector
V:3-BSR-MG{CYH1G2C30A_T1:183}Fld:I,183,V:3-BSR,,,readback,CYH1G2C30A_T1,,Vertical Corrector
V:3-BSR-MG{SQHHG2C30A_T1:184}Fld:SP,184,V:3-BSR,,,setpoint,SQHHG2C30A_T1,K,Quadrupole
V:3-BSR-MG{SQHHG2C30A_T1:184}Fld:I,184,V:3-BSR,,,readback,SQHHG2C30A_T1,K,Quadrupole
V:3-BSR-MG{QH2G2C30A_T1:186}Fld:SP,186,V:3-BSR,,,setpoint,QH2G2C30A_T1,K,Quadrupole
V:3-BSR-MG{QH2G2C30A_T1:186}Fld:I,186,V:3-BSR,,,readback,QH2G2C30A_T1,K,Quadrupole
V:3-BSR-MG{SH3G2C30A_T1:188}Fld:SP,188,V:3-BSR,,,setpoint,SH3G2C30A_T1,K,Sextupole
V:3-BSR-MG{SH3G2C30A_T1:188}Fld:I,188,V:3-BSR,,,readback,SH3G2C30A_T1,K,Sextupole
V:3-BSR-MG{QH3G2C30A_T1:190}Fld:SP,190,V:3-BSR,,,setpoint,QH3G2C30A_T1,K,Quadrupole
V:3-BSR-MG{QH3G2C30A_T1:190}Fld:I,190,V:3-BSR,,,readback,QH3G2C30A_T1,K,Quadrupole
V:3-BSR-BI{PH2G2C30A_T1:192}SA:X,192,V:3-BSR,,,readback,PH2G2C30A_T1,X,Beam Position Monitor
V:3-BSR-BI{PH2G2C30A_T1:192}SA:Y,192,V:3-BSR,,,readback,PH2G2C30A_T1,Y,Beam Position Monitor
V:3-BSR-MG{SH4G2C30A_T1:194}Fld:SP,194,V:3-BSR,,,setpoint,SH4G2C30A_T1,K,Sextupole
V:3-BSR-MG{SH4G2C30A_T1:194}Fld:I,194,V:3-BSR,,,readback,SH4G2C30A_T1,K,Sextupole
V:3-BSR-MG{CXH2G2C30A_T1:197}Fld:SP,197,V:3-BSR,,,setpoint,CXH2G2C30A_T1,,Horizontal Corrector
V:3-BSR-MG{CXH2G2C30A_T1:197}Fld:I,197,V:3-BSR,,,readback,CXH2G2C30A_T1,,Horizontal Corrector
V:3-BSR-MG{CYH2G2C30A_T1:198}Fld:SP,198,V:3-BSR,,,setpoint,CYH2G2C30A_T1,,Vertical Corrector
V:3-BSR-MG{CYH2G2C30A_T1:198}Fld:I,198,V:3-BSR,,,readback,CYH2G2C30A_T1,,Vertical Corrector
V:3-BSR-MG{B1G3C30A_T1:203}Fld:SP,203,V:3-BSR,,,setpoint,B1G3C30A_T1,T,Bending
