#   set point           ,     Properties          ,       Tag   
# missing pulse magnet : CSBEND22.1892SP1SI, CSBEND23.579BU3SI, CSBEND25.7042BU4SI
LTB-MG{Quad:13}I:Ps1DCCT1-I         , elemHandle=read,   elemIndex= 109 , elemName= Q13    ,  devName= Q13   ,  elemLength= 0.15,  elemPosition= 17.8034 , elemType=QUAD,  system=LTB, elemField=k1,  aphla.sys.LTB 
LTB-MG{Quad:14}I:Ps1DCCT1-I         , elemHandle=read,   elemIndex= 117 , elemName= Q14   ,  devName= Q14   ,  elemLength= 0.15,  elemPosition= 18.7132  , elemType=QUAD,  system=LTB, elemField=k1,  aphla.sys.LTB 
LTB-MG{Quad:15}I:Ps1DCCT1-I         , elemHandle=read,   elemIndex= 119 , elemName= Q15   ,  devName= Q15   ,  elemLength= 0.15,  elemPosition= 19.5635 , elemType=QUAD,  system=LTB, elemField=k1,  aphla.sys.LTB 

LTB-MG{Quad:7}DO:RampStart1-Cmd     , elemHandle=read,   elemIndex= 57, elemName= Q7     ,  devName= Q7    ,  elemLength= 0.15,  elemPosition= 9.21371 , elemType=QUAD,  system=LTB,elemField=ramping,  aphla.sys.LTB 
LTB-MG{Quad:8}DO:RampStart1-Cmd     , elemHandle=read,   elemIndex= 59, elemName= Q8    ,  devName= Q8    ,  elemLength= 0.15,  elemPosition= 9.71252  , elemType=QUAD,  system=LTB,elemField=ramping,  aphla.sys.LTB 
LTB-MG{Quad:9}DO:RampStart1-Cmd     , elemHandle=read,   elemIndex= 63, elemName= Q9    ,  devName= Q9    ,  elemLength= 0.15,  elemPosition= 10.6046 , elemType=QUAD,  system=LTB,elemField=ramping,  aphla.sys.LTB 
LTB-MG{Quad:10}DO:RampStart1-Cmd    , elemHandle=read,   elemIndex= 87, elemName= Q10    ,  devName= Q10   ,  elemLength= 0.15,  elemPosition= 13.9472 , elemType=QUAD,  system=LTB,elemField=ramping,  aphla.sys.LTB 
LTB-MG{Quad:11}DO:RampStart1-Cmd    , elemHandle=read,   elemIndex= 100 , elemName= Q11   ,  devName= Q11   ,  elemLength= 0.15,  elemPosition= 15.9836  , elemType=QUAD,  system=LTB,elemField=ramping,  aphla.sys.LTB 
LTB-MG{Quad:12}DO:RampStart1-Cmd    , elemHandle=read,   elemIndex= 102 , elemName= Q12   ,  devName= Q12   ,  elemLength= 0.15,  elemPosition= 16.8934 , elemType=QUAD,  system=LTB,elemField=ramping,  aphla.sys.LTB 
LTB-MG{Quad:13}DO:RampStart1-Cmd    , elemHandle=read,   elemIndex= 109 , elemName= Q13    ,  devName= Q13   ,  elemLength= 0.15,  elemPosition= 17.8034 , elemType=QUAD,  system=LTB,elemField=ramping,  aphla.sys.LTB 
LTB-MG{Quad:14}DO:RampStart1-Cmd    , elemHandle=read,   elemIndex= 117 , elemName= Q14   ,  devName= Q14   ,  elemLength= 0.15,  elemPosition= 18.7132  , elemType=QUAD,  system=LTB,elemField=ramping,  aphla.sys.LTB 
LTB-MG{Quad:15}DO:RampStart1-Cmd    , elemHandle=read,   elemIndex= 119 , elemName= Q15   ,  devName= Q15   ,  elemLength= 0.15,  elemPosition= 19.5635 , elemType=QUAD,  system=LTB,elemField=ramping,  aphla.sys.LTB 

LTB-MG{Cor:5}I:Ps1DCCT1-I          , elemHandle=read,   elemIndex= 66, elemName= CX5    ,  devName= C5   ,  elemLength= 0.15,  elemPosition= 10.7742 , elemType=HCOR ,  system=LTB, elemField=x,  aphla.sys.LTB 
LTB-MG{Cor:5}I:Ps2DCCT1-I          , elemHandle=read,   elemIndex= 67, elemName= CY5    ,  devName= C5   ,  elemLength= 0.15,  elemPosition= 10.7742 , elemType=VCOR ,  system=LTB, elemField=y,  aphla.sys.LTB 
LTB-MG{Cor:6}I:Ps1DCCT1-I          , elemHandle=read,   elemIndex= 96, elemName= CX6    ,  devName= C6   ,  elemLength= 0.15,  elemPosition= 15.6747 , elemType=HCOR ,  system=LTB, elemField=x,  aphla.sys.LTB 
LTB-MG{Cor:6}I:Ps2DCCT1-I          , elemHandle=read,   elemIndex= 97, elemName= CY6    ,  devName= C6   ,  elemLength= 0.15,  elemPosition= 15.6747 , elemType=VCOR ,  system=LTB, elemField=y,  aphla.sys.LTB 
LTB-MG{Cor:7}I:Ps1DCCT1-I          , elemHandle=read,   elemIndex= 105, elemName= CX7    ,  devName= C7   ,  elemLength= 0.15,  elemPosition= 17.3378 , elemType=HCOR ,  system=LTB, elemField=x,  aphla.sys.LTB 
LTB-MG{Cor:7}I:Ps2DCCT1-I          , elemHandle=read,   elemIndex= 106, elemName= CY7    ,  devName= C7   ,  elemLength= 0.15,  elemPosition= 17.3378 , elemType=VCOR ,  system=LTB, elemField=y,  aphla.sys.LTB 
LTB-MG{Cor:8}I:Ps1DCCT1-I          , elemHandle=read,   elemIndex= 122, elemName= CX8    ,  devName= C8   ,  elemLength= 0.15,  elemPosition= 19.7964 , elemType=HCOR ,  system=LTB, elemField=x,  aphla.sys.LTB 
LTB-MG{Cor:8}I:Ps2DCCT1-I          , elemHandle=read,   elemIndex= 123, elemName= CY8    ,  devName= C8   ,  elemLength= 0.15,  elemPosition= 19.7964 , elemType=VCOR ,  system=LTB, elemField=y,  aphla.sys.LTB 
                                                                                                          
LTB-MG{Cor:5}DO:RampStart1-Cmd     , elemHandle=read,   elemIndex= 66  , elemName= CX5    ,  devName= C5   ,  elemLength= 0.15,  elemPosition= 10.7742 , elemType=HCOR ,  system=LTB, elemField=ramping,  aphla.sys.LTB 
