 ElementName  ElementType      L          s         K1         K2       Angle  
                               m          m        1/m2       1/m3       rad   
-------------------------------------------------------------------------------
 DM1AG4A      DRIF          0.501    117.045     0         0          0        
 CM1G4C04A    TRIMD         0.2      117.245     0         0          0        
 DM1BG4A      DRIF          0.2755   117.521     0         0          0        
 QM1G4C04A    QUAD          0.247    117.768     -0.812235  0          0        
 DM2AG4A      DRIF          0.2015   117.969     0         0          0        
 SM1G4C04A    SEXT          0.2      118.169     0         -23.6806   0        
 DFT1         DRIF          0.2332   118.403     0         0          0        
 FM1G4C04A    FTRIM         0.044    118.447     0         0          0        
 DM2BG4A      DRIF          0.2924   118.739     0         0          0        
 PM1G4C04A    BPM           0        118.739     0         0          0        
 DBPM03       DRIF          0.0844   118.823     0         0          0        
 QM2G4C04A    QUAD          0.282    119.105     1.22615   0          0        
 DM2CG4A      DRIF          0.184    119.289     0         0          0        
 SM2G4C04B    SEXT          0.25     119.539     0         28.6432    0        
 DM2CG4B      DRIF          0.184    119.723     0         0          0        
 QM2G4C04B    QUAD          0.282    120.005     1.22615   0          0        
 DM2BG4B      DRIF          0.504    120.509     0         0          0        
 SM1G4C04B    SEXT          0.2      120.709     0         -25.946    0        
 DM2AG4B      DRIF          0.26226  120.972     0         0          0        
 PM1G4C04B    BPM           0        120.972     0         0          0        
 DBPM04       DRIF          0.08924  121.061     0         0          0        
 QM1G4C04B    QUAD          0.247    121.308     -0.812235  0          0        
 DM1EG4B      DRIF          0.1105   121.418     0         0          0        
 CM1G4C04B    TRIMD         0.3      121.718     0         0          0        
 GEG4C04B     MARK          0        121.718     0         0          0        
 GSG5C04B     MARK          0        121.718     0         0          0        
 DM1DG5B1     DRIF          0.1      121.818     0         0          0        
 DPWG5B       DRIF          0.2      122.018     0         0          0        
 DM1CG5B1     DRIF          0.266    122.284     0         0          0        
 B1G5C04B     DIPOLE        2.62     124.904     0         0          0.10472  
 GEG5C04B     MARK          0        124.904     0         0          0        
 DL4BG6B      DRIF          0.2178   125.122     0         0          0        
 GSG6C04B     MARK          0        125.122     0         0          0        
 DL4AG6B      DRIF          0.3732   125.495     0         0          0        
 QL3G6C04B    QUAD          0.268    125.763     -1.51868  0          0        
 DBPM05       DRIF          0.07822  125.842     0         0          0        
 PL2G6C04B    BPM           0        125.842     0         0          0        
 DL3CG6B      DRIF          0.08778  125.929     0         0          0        
 SL3G6C04B    SEXT          0.2      126.129     0         -29.4609   0        
 DL3BG6B      DRIF          0.1575   126.287     0         0          0        
 CL2G6C04B    TRIMD         0.2      126.487     0         0          0        
 DL3AG6B      DRIF          0.2021   126.689     0         0          0        
 QL2G6C04B    QUAD          0.46     127.149     1.76477   0          0        
 DL2CG6B      DRIF          0.244    127.393     0         0          0        
 SL2G6C04B    SEXT          0.2      127.593     0         35.6779    0        
 DL2BG6B      DRIF          0.13125  127.724     0         0          0        
 CL1G6C04B    TRIMD         0.2      127.924     0         0          0        
 DL2AG6B      DRIF          0.13475  128.059     0         0          0        
 QL1G6C04B    QUAD          0.268    128.327     -1.61785  0          0        
 DL1AG6B      DRIF          0.0783   128.405     0         0          0        
 PL1G6C04B    BPM           0        128.405     0         0          0        
 DBPM06       DRIF          0.0877   128.493     0         0          0        
 SL1G6C04B    SEXT          0.2      128.693     0         -13.2716   0        
 GEG6C04B     MARK          0        128.693     0         0          0        
 GSG1C05A     MARK          0        128.693     0         0          0        
 DL0BG1A      DRIF          0.44652  129.14      0         0          0        
 FL1G1C05A    FTRIM         0.044    129.184     0         0          0        
 DFT2         DRIF          0.051    129.235     0         0          0        
 DLDK         DRIF          0.095    129.33      0         0          0        
 DL01G1A      DRIF          2.66348  131.993     0         0          0        
 DL02G1A      DRIF          2.79768  134.791     0         0          0        
 DLDK         DRIF          0.095    134.886     0         0          0        
